ind_ID,sppcode,species_frac,admix_frac,lat,long
QUE001552_bic,bic,0.999948545454545,5.14545454549653e-05,42.17597,-87.91698
QUE001553_bic,bic,0.99995,4.99999999999945e-05,42.174555,-87.912008
QUE001554_mac,mac,0.999959181818182,4.08181818184472e-05,42.175674,-87.914878
QUE001555_bic,bic,0.999949545454545,5.04545454550476e-05,42.175536,-87.914478
QUE001556_mac,mac,0.977974454545454,0.022025545454546,42.175701,-87.914442
QUE001388_bic,bic,0.999949181818182,5.08181818179576e-05,43.264793,-90.303891
QUE001400_ste,ste,0.999949,5.10000000000232e-05,32.3582421,-89.547185
QUE001403_ste,ste,0.999948909090909,5.1090909090945e-05,32.3582421,-89.547185
QUE001406_ste,ste,0.999949454545455,5.05454545449702e-05,32.3582421,-89.547185
QUE001408_ste,ste,0.999949,5.10000000000232e-05,32.3582421,-89.547185
QUE001409_ste,ste,0.999948545454545,5.14545454549653e-05,32.3582421,-89.547185
QUE001410_ste,ste,0.999948636363636,5.13636363640435e-05,32.3582421,-89.547185
QUE001411_ste,ste,0.999947727272728,5.22727272720402e-05,32.3582421,-89.547185
QUE001412_ste,ste,0.999949090909091,5.09090909089904e-05,32.3582421,-89.547185
QUE001758_alb,alb,0.999949636363636,5.03636363640148e-05,43.10661,-89.80435
QUE001759_mac,mac,0.99996,4.000000000004e-05,43.10698,-89.80825
QUE001804_mac,mac,0.99996,4.000000000004e-05,42.04211,-93.60619
QUE001814_mac,mac,0.99996,4.000000000004e-05,40.7056,-91.79416
QUE001815_alb,alb,0.999947818181818,5.21818181820066e-05,40.70625,-91.79392
QUE001819_mue,mue,0.999949727272727,5.02727272729819e-05,40.70481,-91.79589
QUE001839_ste,ste,0.999948727272727,5.12727272730107e-05,37.97291,-92.76217
QUE001840_mue,mue,0.999948272727273,5.17272727269535e-05,37.973,-92.76217
QUE001841_alb,alb,0.848406818181818,0.151593181818182,37.97316,-92.76227
QUE001862_ste,ste,0.999947454545455,5.25454545450277e-05,36.84914,-96.4152
QUE001863_mac,mac,0.99996,4.000000000004e-05,36.84504,-96.42526
QUE001893_mue,mue,0.999948818181818,5.11818181819779e-05,35.44809,-98.35347
QUE001916_mac,mac,0.999959636363636,4.03636363638382e-05,34.80384,-92.32634
QUE001918_alb,alb,0.999949090909091,5.09090909089904e-05,34.80299,-92.32599
QUE001932_alb,alb,0.999949636363636,5.03636363640148e-05,37.15729,-91.36499
QUE001933_mac,mac,0.999959272727272,4.07272727276364e-05,37.15687,-91.36471
QUE001783_mac,mac,0.999958727272727,4.12727272725011e-05,41.9736,-91.7239
QUE001880_mac,mac,0.999958909090909,4.10909090912126e-05,36.2204,-95.89845
QUE001907_mac,mac,0.99996,3.99999999995959e-05,35.17688,-97.4497
QUE001937_mac,mac,0.999959818181818,4.01818181819946e-05,43.90292,-91.63996
QUE001963_mac,mac,0.99996,4.000000000004e-05,49.76137,-99.1604
QUE001971_mac,mac,0.999959545454546,4.04545454539829e-05,49.85783,-97.24911
QUE001982_mac,mac,0.99996,4.000000000004e-05,46.0259,-91.14288
QUE002057_mac,mac,0.999960000000001,3.99999999994849e-05,38.963586,-98.58906
QUE002074_mac,mac,0.999959181818182,4.08181818180031e-05,39.839311,-88.367745
QUE002075_alb,alb,0.999949,5.10000000000232e-05,39.839311,-88.367745
QUE002081_mac,mac,0.999959090909091,4.090909090948e-05,37.51492,-89.4445
QUE002082_mac,mac,0.999959818181818,4.01818181819946e-05,37.51639,-89.44535
QUE002085_mac,mac,0.999958636363636,4.1363636364089e-05,38.7362,-86.41257
QUE002091_alb,alb,0.999948454545455,5.15454545449989e-05,38.73631,-86.41434
QUE002098_mue,mue,0.999945818181818,5.41818181819531e-05,38.73743,-86.41263
QUE002105_mac,mac,0.993611818181818,0.00638818181818201,40.45916,-85.50807
QUE002108_alb,alb,0.999948545454545,5.14545454549653e-05,40.45911,-85.50917
QUE002121_alb,alb,0.999948272727273,5.17272727269535e-05,41.65738,-87.06045
QUE002129_mac,mac,0.999959454545455,4.05454545450157e-05,41.9623302,-73.313005
QUE002133_mac,mac,0.926808909090909,0.073191090909091,42.1666494,-73.41209
