ind_ID,sppcode,mue_frac,alb_frac,ste_frac,mac1_frac,mac2_frac,bic_frac,lat,long
QUE002637_mac,1,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,43.68836,-92.92859
QUE002631_mac,1,1.07272727272727e-05,1.00909090909091e-05,1e-05,0.993526909090909,1e-05,0.00643227272727273,43.68481,-92.92696
QUE002647_mac,1,1.02727272727273e-05,1e-05,1e-05,0.998077454545454,0.00188227272727273,1e-05,43.677,-92.93769
QUE002613_mac,1,1.05454545454545e-05,1e-05,1e-05,0.839094454545455,0.160864636363636,1.03636363636364e-05,42.04141,-93.678679
QUE002614_mac,1,1e-05,1e-05,1e-05,0.935010090909091,0.0649499090909091,1e-05,42.049533,-93.679052
QUE002616_mac,1,1.04545454545455e-05,1e-05,1.03636363636364e-05,0.758419181818182,0.24154,1e-05,42.030898,-93.632418
QUE002617_mac,1,1.05454545454545e-05,1e-05,1.02727272727273e-05,0.888194454545455,0.111764818181818,1e-05,42.023609,-93.633087
QUE002599_mac,1,1.04545454545455e-05,1e-05,1.00909090909091e-05,0.960591363636364,0.0393681818181818,1e-05,44.2261111,-93.471944
QUE002601_mac,1,1e-05,1e-05,1.01818181818182e-05,0.999949,1.05454545454545e-05,1.02727272727273e-05,44.86798,-93.03203
QUE002638_mac,1,1e-05,1e-05,1e-05,0.999949272727273,1.07272727272727e-05,1e-05,43.677,-92.93769
QUE002615_mac,1,1.01818181818182e-05,1e-05,1.05454545454545e-05,0.894048272727273,0.105911090909091,1e-05,42.036203,-93.639256
QUE002595_mac,1,1e-05,1e-05,1e-05,0.999949727272727,1.02727272727273e-05,1e-05,44.2244444,-93.528333
QUE002634_mac,1,0.00375454545454545,1e-05,1e-05,0.996205454545455,1e-05,1e-05,43.68461,-92.92134
QUE002590_mac,1,1.05454545454545e-05,1e-05,1e-05,0.999949454545455,1e-05,1e-05,45.38953,-93.19485
QUE002608_mac,1,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,45.4222222,-93.188056
QUE002641_mac,1,1e-05,1e-05,1e-05,0.999949909090909,1e-05,1.00909090909091e-05,43.68531,-92.92292
QUE001334_mac,1,1.00909090909091e-05,1e-05,1e-05,0.587901636363636,0.412058272727273,1e-05,40.990945,-90.402384
QUE001337_mac,1,1.00909090909091e-05,1e-05,1e-05,0.246677,0.753282909090909,1e-05,40.9904574,-90.405752
QUE001338_mac,1,1e-05,1e-05,1e-05,0.55864,0.430973454545455,0.0103564545454545,40.9904574,-90.405752
QUE001339_mac,1,1e-05,1e-05,1e-05,0.304629181818182,0.695329545454546,1.13636363636364e-05,40.9904574,-90.405752
QUE001342_mac,1,1.10909090909091e-05,1e-05,1e-05,0.552559181818182,0.447399636363636,1e-05,40.9905535,-90.399817
QUE001343_mac,1,1.03636363636364e-05,1e-05,1.07272727272727e-05,0.805831909090909,0.194127,1e-05,40.989198,-90.398409
QUE001344_mac,1,1e-05,0.498687636363636,1.00909090909091e-05,0.387120909090909,0.114160545454545,1.09090909090909e-05,40.9887178,-90.398239
QUE001345_mac,1,0.0119961818181818,1.07272727272727e-05,1.04545454545455e-05,0.663502909090909,0.324468181818182,1.12727272727273e-05,40.9887178,-90.398239
QUE001346_mac,1,1.09090909090909e-05,1e-05,1e-05,0.821612545454546,0.178346636363636,1e-05,40.9887178,-90.398239
QUE001347_mac,1,1e-05,1e-05,1e-05,0.583889181818182,0.416070818181818,1e-05,40.98749153672211,-90.393722
QUE001348_mac,1,1.02727272727273e-05,1.06363636363636e-05,1e-05,0.472442909090909,0.527516272727273,1e-05,40.9878018,-90.393579
QUE001350_mac,1,1e-05,1e-05,1e-05,0.556906272727273,0.443053,1.07272727272727e-05,40.987996,-90.393384
QUE001351_mac,1,1.00909090909091e-05,1e-05,1.05454545454545e-05,0.678694181818182,0.321265181818182,1e-05,40.98879,-90.391843
QUE001352_mac,1,1.07272727272727e-05,1e-05,1e-05,0.544997,0.429928,0.0250440909090909,40.9898984,-90.384677
QUE001354_bic,3,1.03636363636364e-05,1.06363636363636e-05,1e-05,1.01818181818182e-05,1e-05,0.999948818181818,41.7871378,-88.272995
QUE001355_bic,3,1.00909090909091e-05,1e-05,1.06363636363636e-05,1.04545454545455e-05,1e-05,0.999948818181818,41.7871378,-88.272995
QUE001356_bic,3,1.05454545454545e-05,1e-05,1e-05,1.01818181818182e-05,1e-05,0.999949363636364,41.7873037,-88.273141
QUE001357_bic,3,1e-05,1.04545454545455e-05,1.1e-05,1e-05,1e-05,0.999948545454545,41.7873037,-88.273045
QUE001360_bic,3,1e-05,1e-05,1e-05,1e-05,1.01818181818182e-05,0.999949818181818,41.7895934,-88.272206
QUE001366_bic,3,1e-05,1e-05,1e-05,1.08181818181818e-05,1e-05,0.999949181818182,43.219807,-90.305408
QUE001368_bic,3,1.00909090909091e-05,1.01818181818182e-05,1.1e-05,1.10909090909091e-05,1.09090909090909e-05,0.999946727272727,43.215162,-90.304929
QUE001370_mac,1,1e-05,1e-05,1e-05,0.99995,1e-05,1e-05,43.241424,-90.302268
QUE001371_mac,1,1e-05,1e-05,1e-05,0.995231636363636,0.00472836363636364,1e-05,43.241424,-90.302268
QUE001372_mac,1,1.09090909090909e-05,1e-05,1.06363636363636e-05,0.973032818181818,0.0231631818181818,0.00377263636363636,43.264793,-90.303891
QUE001375_bic,3,1e-05,1e-05,1e-05,1.07272727272727e-05,1e-05,0.999949272727273,43.240287,-90.302314
QUE001386_bic,3,1e-05,1.02727272727273e-05,1.04545454545455e-05,1.03636363636364e-05,1.1e-05,0.999947818181818,43.264793,-90.303891
QUE001487_mac,1,1.04545454545455e-05,1.00909090909091e-05,1e-05,0.848556727272727,0.151402818181818,1e-05,41.721525,-87.86057
QUE001526_mac,1,1.01818181818182e-05,1e-05,1e-05,0.781345909090909,0.208831181818182,0.00979290909090909,41.724335,-87.859901
QUE001527_bic,3,1e-05,1e-05,1.03636363636364e-05,1e-05,1e-05,0.999949636363636,41.726608,-87.866086
QUE001528_bic,3,1e-05,1e-05,1e-05,1.00909090909091e-05,1e-05,0.999949909090909,41.7258,-87.865461
QUE001529_bic,3,1e-05,1e-05,1.08181818181818e-05,1.03636363636364e-05,1e-05,0.999948818181818,41.725382,-87.86371
QUE001530_mac,1,1e-05,1e-05,1e-05,0.899412818181818,0.100546818181818,1.03636363636364e-05,41.725689,-87.862598
QUE001532_mac,1,1e-05,1.00909090909091e-05,1.01818181818182e-05,0.887295272727273,0.112664454545455,1e-05,41.718072,-87.866357
QUE001533_mac,1,1.01818181818182e-05,1.00909090909091e-05,1e-05,0.857796,0.142163727272727,1e-05,41.71809,-87.866302
QUE001534_bic,3,1e-05,1e-05,1e-05,1.04545454545455e-05,1e-05,0.999949545454545,41.718213,-87.866311
QUE001536_mac,1,1e-05,1e-05,0.00354490909090909,0.789267818181818,0.180566909090909,0.0266003636363636,41.72124,-87.866644
QUE001537_bic,3,1e-05,1.01818181818182e-05,1.01818181818182e-05,0.0210661818181818,1e-05,0.978893454545454,42.183259,-87.914855
QUE001538_bic,3,1e-05,1e-05,1e-05,1e-05,1.01818181818182e-05,0.999949818181818,42.183259,-87.914855
QUE001539_bic,3,1.1e-05,1e-05,1e-05,1.16363636363636e-05,1.02727272727273e-05,0.999946909090909,42.183259,-87.914855
QUE001541_mac,1,1.05454545454545e-05,1e-05,1e-05,0.997194909090909,0.00276454545454545,1e-05,42.183917,-87.91512
QUE001542_mac,1,1.01818181818182e-05,1e-05,1e-05,0.963753636363636,0.0362061818181818,1e-05,42.183917,-87.91512
QUE001543_bic,3,1e-05,1.13636363636364e-05,1e-05,1.00909090909091e-05,1.11818181818182e-05,0.999947363636364,42.184283,-87.914622
QUE001545_bic,3,1e-05,1.01818181818182e-05,1.01818181818182e-05,1.02727272727273e-05,1e-05,0.999949363636364,42.184204,-87.913637
