ind_ID,lat,long,sympspp_num,sympspp_bin
QUE000128_alb,41.864917,-86.35075,3,Y
QUE000136_bic,41.740864,-87.860335,3,Y
QUE000322_mue,31.97917,-104.75417,0,N
QUE001333_mac,40.989946,-90.383786,3,Y
QUE001334_mac,40.990945,-90.402384,3,Y
QUE001335_mac,40.990945,-90.402384,3,Y
QUE001336_mac,40.990945,-90.402384,3,Y
QUE001337_mac,40.9904574,-90.405752,3,Y
QUE001338_mac,40.9904574,-90.405752,3,Y
QUE001339_mac,40.9904574,-90.405752,3,Y
QUE001340_mac,40.9904574,-90.405752,3,Y
QUE001341_mac,40.9905535,-90.399817,3,Y
QUE001342_mac,40.9905535,-90.399817,3,Y
QUE001343_mac,40.989198,-90.398409,3,Y
QUE001344_mac,40.9887178,-90.398239,3,Y
QUE001345_mac,40.9887178,-90.398239,3,Y
QUE001346_mac,40.9887178,-90.398239,3,Y
QUE001347_mac,40.98749154,-90.393722,3,Y
QUE001348_mac,40.9878018,-90.393579,3,Y
QUE001349_mac,40.9878018,-90.393579,3,Y
QUE001350_mac,40.987996,-90.393384,3,Y
QUE001351_mac,40.98879,-90.391843,3,Y
QUE001352_mac,40.9898984,-90.384677,3,Y
QUE001353_bic,41.7871378,-88.272995,3,Y
QUE001354_bic,41.7871378,-88.272995,3,Y
QUE001355_bic,41.7871378,-88.272995,3,Y
QUE001356_bic,41.7873037,-88.273141,3,Y
QUE001357_bic,41.7873037,-88.273045,3,Y
QUE001359_bic,41.7905251,-88.266149,3,Y
QUE001360_bic,41.7895934,-88.272206,3,Y
QUE001361_mac,41.7872724,-88.271006,3,Y
QUE001362_bic,43.239139,-90.307985,3,Y
QUE001363_bic,43.23857,-90.306989,3,Y
QUE001364_bic,43.223441,-90.303845,3,Y
QUE001365_bic,43.233824,-90.30431,3,Y
QUE001366_bic,43.219807,-90.305408,3,Y
QUE001367_bic,43.218371,-90.303809,3,Y
QUE001368_bic,43.215162,-90.304929,3,Y
QUE001369_mac,43.243623,-90.303741,3,Y
QUE001370_mac,43.241424,-90.302268,3,Y
QUE001371_mac,43.241424,-90.302268,3,Y
QUE001372_mac,43.264793,-90.303891,3,Y
QUE001373_bic,43.264793,-90.303891,3,Y
QUE001374_bic,43.264793,-90.303891,3,Y
QUE001375_bic,43.240287,-90.302314,3,Y
QUE001376_mac,43.240287,-90.302314,3,Y
QUE001377_mac,43.264793,-90.303891,3,Y
QUE001378_bic,43.264793,-90.303891,3,Y
QUE001384_bic,43.264793,-90.303891,3,Y
QUE001385_bic,43.264793,-90.303891,3,Y
QUE001386_bic,43.264793,-90.303891,3,Y
QUE001387_bic,43.264793,-90.303891,3,Y
QUE001388_bic,43.264793,-90.303891,3,Y
QUE001389_bic,43.264793,-90.303891,3,Y
QUE001390_bic,43.264793,-90.303891,3,Y
QUE001391_bic,43.264793,-90.303891,3,Y
QUE001392_bic,43.264793,-90.303891,3,Y
QUE001393_mac,43.264793,-90.303891,3,Y
QUE001400_ste,32.3582421,-89.547185,2,Y
QUE001403_ste,32.3582421,-89.547185,2,Y
QUE001406_ste,32.3582421,-89.547185,2,Y
QUE001408_ste,32.3582421,-89.547185,2,Y
QUE001409_ste,32.3582421,-89.547185,2,Y
QUE001410_ste,32.3582421,-89.547185,2,Y
QUE001411_ste,32.3582421,-89.547185,2,Y
QUE001412_ste,32.3582421,-89.547185,2,Y
QUE001419_ste,31.9652505,-92.783737,3,Y
QUE001444_ste,30.076389,-97.181667,2,Y
QUE001451_ste,30.076389,-97.181667,2,Y
QUE001452_ste,30.076389,-97.181667,2,Y
QUE001463_alb,34.933333,-92.414722,3,Y
QUE001483_mac,41.718158,-87.866097,3,Y
QUE001484_mac,41.719269,-87.866098,3,Y
QUE001485_mac,42.719269,-87.866098,3,Y
QUE001486_bic,41.721732,-87.866425,3,Y
QUE001487_mac,41.721525,-87.86057,3,Y
QUE001488_mac,41.721525,-87.86057,3,Y
QUE001489_mac,41.723086,-87.86617,3,Y
QUE001526_mac,41.724335,-87.859901,3,Y
QUE001527_bic,41.726608,-87.866086,3,Y
QUE001528_bic,41.7258,-87.865461,3,Y
