ind_ID,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,elev,moist_index
QUE000128_alb,9.68333339691162,10.2333335876465,27.8837432861328,978.791748046875,28.2999992370605,-8.39999961853027,36.6999969482422,21.4500007629395,-1.33333325386047,21.4500007629395,-2.81666660308838,975,98,45,20.3649482727051,282,171,282,181,202,-13.86925795053
QUE000136_bic,9.77916622161865,10.4250001907349,26.9379844665527,1023.36444091797,28.8999996185303,-9.80000019073486,38.7000007629395,21.9833335876465,-3.41666674613953,21.9833335876465,-3.41666674613953,946,102,39,27.6340827941895,299,147,299,147,204,-18.5185185185185
QUE000322_mue,14.3583335876465,13.2333335876465,41.4838027954102,711.978149414062,30.2000007629395,-1.70000004768372,31.9000015258789,21.8166656494141,10.3000001907349,22.9833335876465,5.46666669845581,400,82,9,76.3805160522461,216,34,180,40,1550,-82.2773593265397
QUE001333_mac,10.1166667938232,11.0500001907349,27.4875621795654,1071.85131835938,29.7000007629395,-10.5,40.2000007629395,20.7333335876465,-3.86666655540466,22.7333335876465,-3.86666655540466,951,112,35,33.4918937683105,321,127,319,127,237,-23.1204527081649
QUE001334_mac,10.0916662216187,11.1166667938232,27.7223606109619,1069.98266601562,29.6000003814697,-10.5,40.0999984741211,20.6833324432373,-3.90000009536743,22.6499996185303,-3.90000009536743,952,112,35,33.5421295166016,321,127,320,127,236,-23.0396119644301
QUE001335_mac,10.0916662216187,11.1166667938232,27.7223606109619,1069.98266601562,29.6000003814697,-10.5,40.0999984741211,20.6833324432373,-3.90000009536743,22.6499996185303,-3.90000009536743,952,112,35,33.5421295166016,321,127,320,127,236,-23.0396119644301
QUE001336_mac,10.0916662216187,11.1166667938232,27.7223606109619,1069.98266601562,29.6000003814697,-10.5,40.0999984741211,20.6833324432373,-3.90000009536743,22.6499996185303,-3.90000009536743,952,112,35,33.5421295166016,321,127,320,127,236,-23.0396119644301
QUE001337_mac,10.0916662216187,11.1166667938232,27.7223606109619,1069.98266601562,29.6000003814697,-10.5,40.0999984741211,20.6833324432373,-3.90000009536743,22.6499996185303,-3.90000009536743,952,112,35,33.5421295166016,321,127,320,127,236,-23.0396119644301
QUE001338_mac,10.0916662216187,11.1166667938232,27.7223606109619,1069.98266601562,29.6000003814697,-10.5,40.0999984741211,20.6833324432373,-3.90000009536743,22.6499996185303,-3.90000009536743,952,112,35,33.5421295166016,321,127,320,127,236,-23.0396119644301
QUE001339_mac,10.0916662216187,11.1166667938232,27.7223606109619,1069.98266601562,29.6000003814697,-10.5,40.0999984741211,20.6833324432373,-3.90000009536743,22.6499996185303,-3.90000009536743,952,112,35,33.5421295166016,321,127,320,127,236,-23.0396119644301
