ind_ID,long,lat,dist_from_rangeedge
QUE000128_alb,-86.35075,41.864917,378741.20927971
QUE000136_bic,-87.860335,41.740864,203725.836019396
QUE000322_mue,-104.75417,31.97917,9011.30440699222
QUE001333_mac,-90.383786,40.989946,434343.87226395
QUE001334_mac,-90.402384,40.990945,435519.865667645
QUE001335_mac,-90.402384,40.990945,435519.865667645
QUE001336_mac,-90.402384,40.990945,435519.865667645
QUE001337_mac,-90.405752,40.9904574,435778.058006197
QUE001338_mac,-90.405752,40.9904574,435778.058006197
QUE001339_mac,-90.405752,40.9904574,435778.058006197
QUE001340_mac,-90.405752,40.9904574,435778.058006197
QUE001341_mac,-90.399817,40.9905535,435374.496581048
QUE001342_mac,-90.399817,40.9905535,435374.496581048
QUE001343_mac,-90.398409,40.989198,435371.651734952
QUE001344_mac,-90.398239,40.9887178,374900.258056089
QUE001345_mac,-90.398239,40.9887178,435392.647938407
QUE001346_mac,-90.398239,40.9887178,435392.647938407
QUE001347_mac,-90.393722,40.98749154,435173.389168534
QUE001348_mac,-90.393579,40.9878018,435142.901095302
QUE001349_mac,-90.393579,40.9878018,435142.901095302
QUE001350_mac,-90.393384,40.987996,435116.767963491
QUE001351_mac,-90.391843,40.98879,434960.216638654
QUE001352_mac,-90.384677,40.9898984,434406.605277676
QUE001353_bic,-88.272995,41.7871378,213191.097040804
QUE001354_bic,-88.272995,41.7871378,213191.097040804
QUE001355_bic,-88.272995,41.7871378,213191.097040804
QUE001356_bic,-88.273141,41.7873037,213174.83662828
QUE001357_bic,-88.273045,41.7873037,213173.565506242
QUE001359_bic,-88.266149,41.7905251,212729.5838035
QUE001360_bic,-88.272206,41.7895934,212911.360230812
QUE001361_mac,-88.271006,41.7872724,242299.162658693
QUE001362_bic,-90.307985,43.239139,89871.8580556866
QUE001363_bic,-90.306989,43.23857,89870.2559970376
QUE001364_bic,-90.303845,43.223441,91027.0266097826
QUE001365_bic,-90.30431,43.233824,90145.5665105971
QUE001366_bic,-90.305408,43.219807,91423.1708975991
QUE001367_bic,-90.303809,43.218371,91469.160965926
QUE001368_bic,-90.304929,43.215162,91806.5165157556
QUE001369_mac,-90.303741,43.243623,226730.287928715
QUE001370_mac,-90.302268,43.241424,226875.160057027
QUE001371_mac,-90.302268,43.241424,226875.160057027
QUE001372_mac,-90.303891,43.264793,224738.436771501
QUE001373_bic,-90.303891,43.264793,87459.7699597806
QUE001374_bic,-90.303891,43.264793,87459.7699597806
QUE001375_bic,-90.302314,43.240287,89483.7128931347
QUE001376_mac,-90.302314,43.240287,226984.571368437
QUE001377_mac,-90.303891,43.264793,224738.436771501
QUE001378_bic,-90.303891,43.264793,87459.7699597806
QUE001384_bic,-90.303891,43.264793,87459.7699597806
QUE001385_bic,-90.303891,43.264793,87459.7699597806
QUE001386_bic,-90.303891,43.264793,87459.7699597806
QUE001387_bic,-90.303891,43.264793,87459.7699597806
QUE001388_bic,-90.303891,43.264793,87459.7699597806
QUE001389_bic,-90.303891,43.264793,87459.7699597806
QUE001390_bic,-90.303891,43.264793,87459.7699597806
QUE001391_bic,-90.303891,43.264793,87459.7699597806
QUE001392_bic,-90.303891,43.264793,87459.7699597806
QUE001393_mac,-90.303891,43.264793,224738.436771501
QUE001400_ste,-89.547185,32.3582421,110715.273285955
QUE001403_ste,-89.547185,32.3582421,110715.273285955
QUE001406_ste,-89.547185,32.3582421,110715.273285955
QUE001408_ste,-89.547185,32.3582421,110715.273285955
QUE001409_ste,-89.547185,32.3582421,110715.273285955
QUE001410_ste,-89.547185,32.3582421,110715.273285955
QUE001411_ste,-89.547185,32.3582421,110715.273285955
QUE001412_ste,-89.547185,32.3582421,110715.273285955
QUE001419_ste,-92.783737,31.9652505,73772.3692265557
QUE001444_ste,-97.181667,30.076389,79399.2786403721
QUE001451_ste,-97.181667,30.076389,79399.2786403721
QUE001452_ste,-97.181667,30.076389,79399.2786403721
QUE001463_alb,-92.414722,34.933333,138790.738307709
QUE001483_mac,-87.866097,41.718158,225364.903950784
QUE001484_mac,-87.866098,41.719269,225268.486810864
QUE001485_mac,-87.866098,42.719269,154836.048593054
QUE001486_bic,-87.866425,41.721732,205604.608965539
QUE001487_mac,-87.86057,41.721525,224785.787419978
QUE001488_mac,-87.86057,41.721525,224785.787419978
QUE001489_mac,-87.86617,41.723086,224940.997080575
QUE001526_mac,-87.859901,41.724335,224507.028689485
QUE001527_bic,-87.866086,41.726608,205195.334791021
QUE001528_bic,-87.865461,41.7258,205223.73319526
QUE001529_bic,-87.86371,41.725382,205155.954062198
QUE001530_mac,-87.862598,41.725689,224529.563416795
QUE001531_mac,-87.852271,41.721522,224356.389338183
QUE001532_mac,-87.866357,41.718072,225385.862205497
QUE001533_mac,-87.866302,41.71809,225381.445385373
QUE001534_bic,-87.866311,41.718213,205879.686181629
QUE001535_bic,-87.866416,41.718543,205859.312662999
QUE001536_mac,-87.866644,41.72124,225125.771230104
QUE001537_bic,-87.914855,42.183259,166469.248564906
QUE001538_bic,-87.914855,42.183259,166469.248564906
QUE001539_bic,-87.914855,42.183259,166469.248564906
QUE001540_mac,-87.91512,42.183917,190764.393863562
QUE001541_mac,-87.91512,42.183917,190764.393863562
QUE001542_mac,-87.91512,42.183917,190764.393863562
QUE001543_bic,-87.914622,42.184283,166354.990564932
QUE001544_bic,-87.913744,42.185005,166272.668446617
QUE001545_bic,-87.913637,42.184204,166361.328693818
QUE001546_mac,-87.9143,42.183468,190745.638795652
QUE001547_mac,-87.9143,42.183468,190745.638795652
