ind_ID,lat,long
QUE001444_ste,30.076389,-97.181667
QUE001451_ste,30.076389,-97.181667
QUE001452_ste,30.076389,-97.181667
QUE001463_alb,34.933333,-92.414722
QUE001483_mac,41.718158,-87.866097
QUE001484_mac,41.719269,-87.866098
QUE001485_mac,42.719269,-87.866098
QUE001486_bic,41.721732,-87.866425
QUE001487_mac,41.721525,-87.86057
QUE001488_mac,41.721525,-87.86057
QUE001489_mac,41.723086,-87.86617
QUE001526_mac,41.724335,-87.859901
QUE001527_bic,41.726608,-87.866086
QUE001528_bic,41.7258,-87.865461
QUE001529_bic,41.725382,-87.86371
QUE001530_mac,41.725689,-87.862598
QUE001531_mac,41.721522,-87.852271
QUE001532_mac,41.718072,-87.866357
QUE001533_mac,41.71809,-87.866302
QUE001534_bic,41.718213,-87.866311
QUE001535_bic,41.718543,-87.866416
QUE001536_mac,41.72124,-87.866644
QUE001537_bic,42.183259,-87.914855
QUE001538_bic,42.183259,-87.914855
QUE001539_bic,42.183259,-87.914855
QUE001540_mac,42.183917,-87.91512
QUE001541_mac,42.183917,-87.91512
QUE001542_mac,42.183917,-87.91512
QUE001543_bic,42.184283,-87.914622
QUE001544_bic,42.185005,-87.913744
QUE001545_bic,42.184204,-87.913637
QUE001546_mac,42.183468,-87.9143
QUE001547_mac,42.183468,-87.9143
QUE001548_mac,42.183468,-87.9143
QUE001549_mac,42.181511,-87.918994
QUE001550_bic,42.177593,-87.920503
QUE001551_mac,42.17597,-87.91698
QUE001552_bic,42.17597,-87.91698
QUE001553_bic,42.174555,-87.912008
QUE001554_mac,42.175674,-87.914878
QUE001555_bic,42.175536,-87.914478
QUE001556_mac,42.175701,-87.914442
QUE001557_bic,42.181465,-87.912833
QUE001610_mac,41.81347,-88.06293
QUE001611_alb,41.81345,-88.06309
QUE001629_mac,41.81671,-88.0628
QUE001630_alb,41.81672,-88.06216
QUE001720_mac,39.9355,-89.80083
QUE001721_mac,39.93549,-89.80068
QUE001728_mac,41.82069,-88.05
QUE001729_alb,41.82057,-88.05048
QUE001750_alb,43.10632,-89.8066
QUE001758_alb,43.10661,-89.80435
QUE001759_mac,43.10698,-89.80825
QUE001764_alb,43.10661,-89.80337
QUE001767_mac,43.10543,-89.80593
QUE001778_mac,43.10583,-89.8049
QUE001780_mac,41.97323,-91.72465
QUE001783_mac,41.9736,-91.7239
QUE001789_mac,41.97362,-91.72565
QUE001792_mac,42.02917,-93.6293
QUE001796_mac,42.03033,-93.632
QUE001800_mac,42.02883,-93.63142
QUE001804_mac,42.04211,-93.60619
QUE001814_mac,40.7056,-91.79416
QUE001815_alb,40.70625,-91.79392
QUE001816_alb,40.70627,-91.79392
QUE001817_alb,40.70648,-91.79381
QUE001819_mue,40.70481,-91.79589
QUE001820_mac,42.04561,-93.61113
QUE001835_mue,37.97259,-92.762
QUE001839_ste,37.97291,-92.76217
QUE001840_mue,37.973,-92.76217
QUE001841_alb,37.97316,-92.76227
QUE001846_alb,37.97414,-92.76266
QUE001857_ste,37.97793,-92.76516
QUE001858_alb,37.97792,-92.76518
QUE001860_mue,37.97792,-92.76518
QUE001862_ste,36.84914,-96.4152
QUE001863_mac,36.84504,-96.42526
QUE001866_mac,36.84474,-96.42621
QUE001870_mac,36.84435,-96.42725
QUE001871_ste,36.84354,-96.4292
QUE001877_ste,36.84541,-96.41918
QUE001878_mac,36.2107,-95.89476
QUE001880_mac,36.2204,-95.89845
QUE001882_mac,36.22064,-95.89876
QUE001884_alb,36.21813,-95.89998
QUE001885_alb,36.21812,-95.90014
QUE001886_mac,35.45351,-98.35412
QUE001893_mue,35.44809,-98.35347
QUE001894_mac,35.44376,-98.35451
QUE001898_mue,35.44085,-98.35471
