ind_ID,mac1_frac,mac2_frac,lat,long
QUE002637_mac,0.999989999599984,1.00004000159748e-05,43.68836,-92.92859
QUE002631_mac,0.999989934948658,1.00650513418232e-05,43.68481,-92.92696
QUE002647_mac,0.998117651465418,0.00188234853458191,43.677,-92.93769
QUE002613_mac,0.839128782541104,0.160871217458896,42.04141,-93.678679
QUE002614_mac,0.935047492808803,0.0649525071911968,42.049533,-93.679052
QUE002616_mac,0.758450140373912,0.241549859626088,42.030898,-93.632418
QUE002617_mac,0.888230629756558,0.111769370243442,42.023609,-93.633087
QUE002599_mac,0.960630225495486,0.0393697745045141,44.2261111,-93.471944
QUE002601_mac,0.999989454118826,1.05458811743286e-05,44.86798,-93.03203
QUE002638_mac,0.999989272298165,1.07277018353003e-05,43.677,-92.93769
QUE002615_mac,0.894084605074406,0.105915394925594,42.036203,-93.639256
QUE002595_mac,0.999989726861802,1.02731381982357e-05,44.2244444,-93.528333
QUE002634_mac,0.999989962010774,1.00379892264968e-05,43.68461,-92.92134
QUE002590_mac,0.999989999594529,1.00004054709446e-05,45.38953,-93.19485
QUE002608_mac,0.999989999599984,1.00004000159748e-05,45.4222222,-93.188056
QUE002641_mac,0.999989999599075,1.00004009251364e-05,43.68531,-92.92292
QUE001334_mac,0.587925206819655,0.412074793180345,40.990945,-90.402384
QUE001337_mac,0.246686889901677,0.753313110098323,40.9904574,-90.405752
QUE001338_mac,0.5645032385464,0.4354967614536,40.9904574,-90.405752
QUE001339_mac,0.304641755214261,0.695358244785739,40.9904574,-90.405752
QUE001342_mac,0.552581938147089,0.447418061852911,40.9905535,-90.399817
QUE001343_mac,0.805865022817301,0.194134977182699,40.989198,-90.398409
QUE001345_mac,0.671581299489624,0.328418700510376,40.9887178,-90.398239
QUE001346_mac,0.821646083553775,0.178353916446225,40.9887178,-90.398239
QUE001347_mac,0.583912538319715,0.416087461680285,40.9874915367221,-90.393722
QUE001348_mac,0.472462194138651,0.527537805861348,40.9878018,-90.393579
QUE001350_mac,0.55692895492471,0.44307104507529,40.987996,-90.393384
QUE001351_mac,0.678721762602535,0.321278237397465,40.98879,-90.391843
QUE001352_mac,0.559014283149986,0.440985716850014,40.9898984,-90.384677
QUE001370_mac,0.999989999599984,1.00004000159748e-05,43.241424,-90.302268
QUE001371_mac,0.995271447221525,0.00472855277847484,43.241424,-90.302268
QUE001372_mac,0.976748368977408,0.0232516310225918,43.264793,-90.303891
QUE001487_mac,0.8485910566382,0.1514089433618,41.721525,-87.86057
QUE001526_mac,0.78909713854675,0.21090286145325,41.724335,-87.859901
QUE001530_mac,0.899449123219155,0.100550876780845,41.725689,-87.862598
QUE001532_mac,0.887331007966957,0.112668992033043,41.718072,-87.866357
QUE001533_mac,0.857830547175673,0.142169452824327,41.71809,-87.866302
QUE001536_mac,0.813816824647349,0.186183175352651,41.72124,-87.866644
QUE001541_mac,0.997235342451158,0.00276465754884236,42.183917,-87.91512
QUE001542_mac,0.963792363293143,0.0362076367068568,42.183917,-87.91512
QUE001547_mac,0.992385870331059,0.00761412966894104,42.183468,-87.9143
QUE001548_mac,0.999989999599984,1.00004000159748e-05,42.183468,-87.9143
QUE001549_mac,0.884481256254444,0.115518743745556,42.181511,-87.918994
QUE001551_mac,0.885771870101328,0.114228129898672,42.17597,-87.91698
QUE001554_mac,0.960155919091607,0.0398440809083934,42.175674,-87.914878
QUE001556_mac,0.866451986708335,0.133548013291665,42.175701,-87.914442
QUE001759_mac,0.999989999599984,1.00004000159748e-05,43.10698,-89.80825
QUE001804_mac,0.999989999599984,1.00004000159748e-05,42.04211,-93.60619
QUE001814_mac,0.999989999599984,1.00004000159748e-05,40.7056,-91.79416
QUE001863_mac,0.999989999599984,1.00004000159748e-05,36.84504,-96.42526
QUE001916_mac,0.985381591766068,0.0146184082339323,34.80384,-92.32634
QUE001933_mac,0.00630398401680359,0.993696015983196,37.15687,-91.36471
QUE001783_mac,1.05458898030882e-05,0.999989454110197,41.9736,-91.7239
QUE001880_mac,1.12731904983732e-05,0.999988726809502,36.2204,-95.89845
QUE001907_mac,0.99513325987585,0.00486674012415045,35.17688,-97.4497
QUE001937_mac,1.00004018343283e-05,0.999989999598166,43.90292,-91.63996
QUE001963_mac,1.00004000160006e-05,0.999989999599984,49.76137,-99.1604
QUE001971_mac,0.976695148121901,0.0233048518780987,49.85783,-97.24911
QUE001982_mac,0.462476135409052,0.537523864590948,46.0259,-91.14288
QUE002057_mac,0.99998945412362,1.05458763804966e-05,38.963586,-98.58906
QUE002074_mac,0.176546479033553,0.823453520966447,39.839311,-88.367745
QUE002081_mac,1.05458859680623e-05,0.999989454114032,37.51492,-89.4445
QUE002082_mac,1.00004018343283e-05,0.999989999598166,37.51639,-89.44535
QUE002085_mac,1.00004136534739e-05,0.999989999586346,38.7362,-86.41257
QUE002105_mac,0.99998993570747,1.00642925304761e-05,40.45916,-85.50807
QUE002129_mac,1.00004054709855e-05,0.999989999594529,41.9623302,-73.313005
QUE002154_mac,0.971249522131766,0.0287504778682344,44.4006814,-73.23757
QUE002187_mac,0.863572361076261,0.136427638923739,38.51089,-90.55987
QUE002251_mac,0.156564834217143,0.843435165782857,38.98007,-94.8052
QUE002302_mac,0.378060213317624,0.621939786682376,39.10339,-96.59616
QUE002304_mac,0.497399849830316,0.502600150169684,39.10791,-96.60469
QUE002336_mac,0.691609608313352,0.308390391686648,42.30836,-83.75671
QUE002367_mac,0.999989999599984,1.00004000159748e-05,43.01685,-90.11481
QUE002400_mac,0.999989997964131,1.00020358688724e-05,43.01607,-88.43513
