Sample	Top over-represented sequence	Sum of remaining over-represented sequences
home | gabe | qmac | analyses | qc | OAK-MOR-000390_S355_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000390_S355_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000391_S346_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000391_S346_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000392_S324_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000392_S324_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000399_S357_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000399_S357_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000418_S298_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000418_S298_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000428_S301_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000428_S301_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000431_S327_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000431_S327_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000435_S352_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000435_S352_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000444_S299_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000444_S299_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000461_S345_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000461_S345_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000476_S331_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000476_S331_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000488_S341_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000488_S341_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000490_S347_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000490_S347_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000495_S337_L007_R1_001	0.3037974683544304	38.481012658228
home | gabe | qmac | analyses | qc | OAK-MOR-000495_S337_L007_R2_001	0.3037974683544304	36.86075949367103
home | gabe | qmac | analyses | qc | OAK-MOR-000498_S353_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000498_S353_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000500_S349_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000500_S349_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000507_S367_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000507_S367_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000511_S297_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000511_S297_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000513_S354_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000513_S354_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000532_S196_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000532_S196_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000537_S292_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000537_S292_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000543_S358_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000543_S358_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000545_S325_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000545_S325_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000575_S322_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000575_S322_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000595_S361_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000595_S361_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000601_S328_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000601_S328_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000625_S363_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000625_S363_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000639_S239_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000639_S239_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000650_S362_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000650_S362_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000687_S350_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000687_S350_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000688_S320_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000688_S320_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000696_S365_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000696_S365_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000697_S364_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000697_S364_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000718_S366_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000718_S366_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000738_S214_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000738_S214_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000739_S257_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000739_S257_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000740_S255_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000740_S255_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000741_S236_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000741_S236_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000742_S248_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000742_S248_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000743_S261_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000743_S261_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000744_S265_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000744_S265_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000746_S224_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000746_S224_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000747_S274_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000747_S274_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000748_S264_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000748_S264_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000749_S272_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000749_S272_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000750_S276_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000750_S276_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000751_S278_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000751_S278_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000752_S281_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000752_S281_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000753_S275_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000753_S275_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000754_S249_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000754_S249_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000755_S258_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000755_S258_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000756_S256_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000756_S256_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000757_S270_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000757_S270_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000758_S288_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000758_S288_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000759_S263_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000759_S263_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000760_S284_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000760_S284_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000761_S271_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000761_S271_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000762_S247_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000762_S247_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000764_S243_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000764_S243_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000765_S260_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000765_S260_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000766_S230_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000766_S230_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000767_S211_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000767_S211_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000768_S235_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000768_S235_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000769_S206_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000769_S206_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000770_S213_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000770_S213_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000771_S238_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000771_S238_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000772_S200_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000772_S200_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000773_S241_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000773_S241_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000774_S208_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000774_S208_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000775_S189_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000775_S189_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000776_S197_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000776_S197_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000777_S254_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000777_S254_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000778_S286_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000778_S286_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000779_S195_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000779_S195_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000780_S204_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000780_S204_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000781_S218_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000781_S218_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000782_S223_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000782_S223_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000783_S190_L007_R1_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000783_S190_L007_R2_001	0.0	0.0
home | gabe | qmac | analyses | qc | OAK-MOR-000784_S198_L007_R1_001	0.0	0.0
