long,lat
-78.500509,40.003011
-85.498117,34.775383
-76.512612,38.401322
-100.055542,30.838654
-86.35877,36.377502
-91.231166,36.317193
-96.878824,37.344232
-97.123497,32.017826
-96.63333,33.61667
-91.962338,35.244043
-94.91905,33.800952
-82.753886,39.863131
-84.405403,40.166503
-82.917367,40.359547
-83.889091,39.387859
-89.994111,31.294145
-95.796287,39.987905
-98.126008,29.721303
-88.921495,37.358772
-91.159303,38.697589
-90.226374,42.021939
-86.901353,40.437195
-81.183536,43.074484
-80.834143,34.954968
-92.901397,39.14122
-76.548662,42.407417
-91.05828,36.152521
-79.549452,37.630489
-83.886328,40.821429
-82.302409,40.611012
-96.647153,39.838621
-88.260371,44.275255
-76.802654,38.874698
-94.62726,37.02375
-95.401553,38.437537
-95.828357,37.302289
-95.24192,38.29058
-95.07688,37.56445
-96.78825,37.10769
-94.70062,37.62244
-95.184596,38.809619
-95.35484,37.34933
-82.822086,35.894167
-96.0136,37.07368
-95.03444,38.49734
-95.9031,38.4989
-95.780266,37.886755
-92.038889,37.552222
-77.4775,39.1011
-100.437073,31.457947
-81.843577,39.322253
-93.927545,36.305471
-88.978958,37.542825
-90.407,31.031
-88.592222,32.880278
-89.7365,33.732
-88.8825,32.312778
-89.1152,31.9311
-89.3838,32.2877
-88.18528,34.9667
-89.96678,33.72804
-89.2603,33.41543
-88.8698,33.7722
-90.1728,34.50781
-91.0317,32.0089
-90.039,33.508
-89.034167,32.120278
-88.52333,33.10098
-94.83083,36.09889
-81.820275,43.086065
-80.055553,42.547558
-80.487808,42.699692
-84.6371,40.508267
-97.721271,31.090197
-95.983906,36.68745
-90.983455,41.261222
-93.694616,36.201004
-88.239875,41.386847
-88.967141,40.497085
-96.418312,32.955988
-97.503483,30.755613
-77.372292,37.364467
-96.142265,33.545147
-82.397032,40.376348
-85.626113,37.981388
-77.851562,39.49899
-88.14495,42.307782
-99.06189,29.733009
-99.926117,29.746103
-88.059067,32.594119
-97.565705,38.783521
-72.759951,41.967869
-94.293744,36.625168
-84.699488,39.29841
-89.104469,39.803756
-93.481838,35.424755
-77.128237,44.000882
-81.166177,39.432468
-84.597521,33.378183
-84.950739,42.996029
-97.666759,29.808389
-90.74868,42.559642
-87.712325,37.104092
-87.02735,36.510525
-84.643845,37.825972
-97.501582,32.661687
-80.917287,37.614849
-94.178729,35.679519
-92.1244,38.80566
-89.049407,34.397576
-88.517487,35.042758
-84.2303,38.89737
-97.673915,35.34693
-96.985001,36.196392
-96.501529,32.613403
-97.128472,33.252108
-89.598374,40.860416
-87.614167,34.911111
-99.4813,36.016439
-77.651192,40.744897
-97.490058,32.849341
-76.435777,44.312072
-83.831971,34.246074
-92.979946,34.649077
-89.190162,43.114659
-84.863233,33.707905
-76.842291,44.389865
-98.624222,30.237787
-85.833062,42.97954
-93.877953,34.092161
-86.75741,33.305434
-92.232968,39.044842
-92.537263,35.07557
-89.153366,42.308102
-87.652139,35.250703
-98.184586,31.075104
-90.004143,38.793835
-91.0988,39.639317
-92.65097,40.18615
-98.412255,30.277432
-84.745906,40.102192
-83.261347,36.286868
-74.262338,42.950821
-85.644705,41.226088
-96.480645,36.802335
-94.221642,36.445436
-93.67175,40.092667
-95.5529,39.44158
-83.868951,40.501129
-95.799915,35.892858
-96.70643,33.351442
-96.413856,34.186253
-89.486136,41.47669
-95.23602,35.84106
-86.01162,38.29829
-96.48702,38.37221
-96.24247,34.9753
-74.733333,40.016667
-85.502199,40.453775
-78.729722,43.188333
-95.533656,32.362849
-91.639697,37.054219
-89.73787,43.006963
-83.219703,39.877103
-94.752982,33.943911
-85.488058,38.186142
-93.972113,36.103625
-88.438082,41.783627
-99.27607,29.845891
-97.701773,30.66969
-86.506993,40.480925
-82.029072,39.575769
-84.681977,41.698887
-95.53413,33.818242
-81.82252,41.137288
-85.66132,41.683024
-98.43,35.0817
-83.7043,36.0626
-91.23,43.16
-76.687393,44.210116
-88.2523,38.9467
-74.729,41.087
-83.94259,42.15442
-89.100055,33.205417
-75.93955,39.3719
-76.175556,39.312222
-94.439289,38.968035
-89.439764,37.570962
-88.017256,44.441201
-77.039717,42.139393
-90.60305,36.50833
-85.291428,40.926003
-96.734216,39.442588
-97.605564,30.469209
-77.461667,40.481667
-90.075,36.493333
-90.702968,37.684346
-76.375587,39.929518
-76.2372,40.1039
-95.14321,31.79818
-90.05078,42.446913
-93.307609,37.554945
-83.582303,35.907258
-87.06251,31.62747
-83.774367,33.1908
-83.556817,32.507378
-94.334355,37.741925
-91.6917,37.4594
-91.081666,39.410812
-88.80699,42.92473
-90.629335,34.599586
-76.363346,37.509125
-76.603298,37.027587
-76.493195,36.841734
-76.496071,43.066903
-77.993064,39.018345
-83.528522,40.914836
-96.036875,36.062813
-93.395833,37.313056
-89.040551,42.547391
-95.545573,36.461
-82.841613,41.584026
-95.37596,31.933457
-95.202721,39.043184
-88.92222,41.07222
-89.35556,42.10556
-86.56553,33.849407
-79.213723,42.539071
-86.3257,36.088622
-96.621847,39.219609
-85.817708,40.173918
-94.172936,30.870197
-97.128258,33.029602
-84.373863,42.699519
-85.257474,30.812763
-84.851998,30.722588
-83.93847,30.40226
-84.883083,30.241138
-83.788744,43.342989
-78.512588,39.759831
-80.292433,43.157314
-90.133418,34.987203
-89.477126,33.74584
-80.789303,41.087346
-79.737778,36.396111
-92.690556,31.915556
-96.276944,38.550556
-89.914167,37.72
-97.585807,35.981551
-91.947021,35.454918
-90.70531,35.770679
-73.189982,44.589909
-81.849412,42.315059
-82.746208,36.701935
-95.168381,35.623152
-87.319319,36.501238
-97.970488,34.491572
-94.364264,39.163608
-93.249592,37.033232
-95.91324,33.53322
-77.7208,38.8014
-84.844136,39.834597
-87.840325,42.913453
-81.416791,41.43461
-87.916481,41.154472
-77.024925,44.172423
-94.41428,33.70243
-97.918749,30.369579
-84.398075,39.639429
-77.0233,38.7072
-82.143322,34.474136
-78.348545,38.805987
-81.448691,34.66467
-80.962833,35.578633
-79.899214,35.940621
-81.036632,37.912595
-81.389815,39.029676
-81.937233,35.935948
-81.587646,35.123888
-79.129284,35.756407
-94.18,37.5
-97.050301,37.046264
-95.5706,40.464238
-97.607359,30.283657
-84.622725,37.586467
-83.83224,39.798997
-97.534294,31.210217
-78.096327,43.230747
-94.318372,36.0676
-95.88543,32.696278
-89.173154,40.657184
-84.901185,37.540249
-89.5757,37.2724
-93.16972,40.26222
-94.69333,40.40833
-97.0073,36.466645
-96.44769,33.180633
-80.740963,43.115894
-96.233354,36.405509
-97.526437,31.017489
-95.107221,33.930969
-86.315488,39.882744
-81.206461,42.753835
-96.171678,41.257643
-86.819871,34.647012
-74.680153,40.774658
-77.591111,42.983333
-98.382095,30.036367
-73.338264,42.003677
-80.14151,43.387342
-99.040428,30.22768
-90.394557,42.364757
-94.341944,30.533611
-99.796603,30.452597
-94.900091,38.881561
-95.227747,36.227571
-99.148789,30.029597
-86.311913,41.860028
-96.473351,33.369941
-85.603401,43.079681
-97.295532,31.472014
-84.29242,37.71415
-73.278894,43.62862
-84.304628,35.884635
-86.872365,36.845786
-76.096672,42.996788
-97.092269,32.623572
-93.619675,35.1743
-85.025267,35.127288
-87.543323,37.894059
-94.477168,37.167375
-83.949645,40.177844
-85.810833,34.976944
-90.315208,38.30872
-97.505437,35.687875
-86.84,33.88
-86.6,32.03
-86.34,32
-85.23,31.61
-91.12335,33.82593
-80.2667,39.8667
-92.334402,38.882425
-94.056551,33.755594
-73.256017,44.272645
-73.575779,41.72876
-82.828329,41.389565
-83.566192,41.543778
-94.274437,36.260108
-84.572299,40.8487
-91.231537,31.604492
-92.63472,39.53777
-97.373304,35.39188
-78.705688,38.617925
-95.358789,34.975262
-79.781907,40.17267
-77.098958,40.274995
-89.29083,36.48167
-94.207541,35.883395
-84.900888,38.13697
-81.764733,43.31337
-93.9002,34.3144
-83.140987,41.204774
-79.134992,38.213631
-88.178727,40.112026
-99.25038,33.588605
-98.8836,29.339242
-96.943803,34.504365
-80.158596,42.963682
-82.632255,41.756508
-84.15793,41.83803
-84.777724,41.93417
-83.954702,41.941672
-83.549309,42.572172
-79.83214,39.653134
-80.079495,38.913677
-79.5667,44.1167
-89.5384,38.5537
-78.83957,39.566793
-89.273426,37.12505
-90.5222,39.9672
-73.980867,41.5196
-80.819167,32.573333
-79.58259,33.13576
-97.539598,34.660741
-97.929763,29.87743
-81.401463,42.951361
-95.15442,30.092648
-89.200638,37.62646
-90.474207,37.796127
-97.846445,32.132756
-94.691903,38.795719
-98.492495,29.871544
-96.617212,33.826403
-85.76836,41.500855
-96.834779,36.343487
-96.808475,37.832702
-94.872355,39.812643
-85.94924,40.69942
-88.218208,41.603275
-98.140533,30.340322
-96.966453,32.421222
-84.359812,41.551148
-87.964417,41.637328
-74.093078,41.209045
-77.434587,39.422977
-76.53428,38.872582
-98.354181,35.454056
-97.815147,30.062881
-83.598801,42.285801
-86.125478,39.403855
-88.150671,39.440597
-79.906192,43.31509
-84.895653,40.65432
-85.580362,42.354212
-98.473787,29.681441
-84.760362,34.363688
-86.488774,42.059803
-77.137731,37.296446
-95.691065,40.67584
-85.8238,37.6842
-77.022858,42.660178
-77.310753,44.144192
-88.617732,39.55232
-87.830911,32.463535
-88.319109,32.908509
-81.331299,41.611823
-81.521064,42.787567
-95.751146,36.201896
-86.949105,35.509442
-82.504105,42.11897
-78.014489,42.600506
-84.559105,38.198203
-82.513848,41.933922
-84.033326,39.688323
-99.736376,29.583907
-84.397413,37.893033
-79.539725,37.061519
-93.763182,30.845529
-89.140015,38.481125
-98.752867,29.806022
-73.868161,42.539952
-86.53441,34.707886
-98.702754,29.540661
-98.533834,34.748959
-86.202939,34.402293
-86.012306,34.883003
-92.702982,34.884125
-73.778237,43.101775
-95.941516,33.855841
-78.01883,38.471977
-86.002892,35.125847
-89.456542,37.776405
-90.7306,35.482904
-96.369809,33.601522
-85.223754,35.223244
-84.083908,42.360833
-99.443868,29.979239
-96.898965,33.157601
-76.583907,37.774867
-83.381005,40.0185
-95.882248,39.077351
-97.181207,37.669862
-88.923072,38.310403
-91.366718,39.723935
-85.067139,34.927678
-83.099022,39.69692
-99.274331,30.188404
-90.184145,38.156575
-95.161085,31.567201
-97.2102,36.0945
-99.967102,30.242356
-97.369934,35.169609
-97.928379,38.035067
-77.927534,42.992909
-84.555158,43.145474
-81.589203,41.305456
-88.534997,31.827412
-77.327912,38.354667
-77.585971,44.147539
-79.431442,42.42298
-78.899171,38.443639
-79.304128,43.105484
-79.06021,43.241853
-77.801109,44.29652
-98.556628,33.843084
-97.605486,33.589273
-81.778253,42.632814
-87.35647,39.38475
-90.832912,38.79551
-87.934068,36.848934
-89.852686,40.153626
-84.169586,39.361273
-76.710148,37.252153
-97.329708,31.109149
-85.844171,38.090136
-90.717888,35.974561
-97.363048,33.454762
-92.919978,35.129075
-87.633617,41.963891
-99.727882,32.380225
-89.127891,40.354808
-82.074844,39.344775
-93.161536,35.550137
-93.165791,35.30454
-87.46239,32.576249
-95.538032,30.7398
-82.40063,42.673065
-96.25917,36.1385
-77.711902,39.653943
-84.263855,38.202695
-97.049172,33.705214
-82.79065,42.212868
-98.845144,30.293524
-88.652503,37.477122
-75.283636,40.641599
-94.214653,39.658597
-89.338745,41.850675
-93.640622,39.103719
-86.864517,34.07407
-84.399972,37.184236
-95.452744,39.638061
-79.038662,42.872471
-97.589521,33.35695
-90.767326,35.095505
-75.735209,39.067058
-76.533128,38.685243
-75.477956,40.324267
-88.685931,40.392479
-86.779844,39.791691
-86.285155,35.866375
-92.051111,32.034167
-93.616389,38.736389
-97.434067,33.740631
-84.599454,42.601326
-72.54472,41.46611
-73.21166,42.78555
-73.39555,41.37416
-88.25222,42.90361
-78.077769,37.879684
-78.446958,37.2087
-77.351031,37.798968
-77.894654,37.477048
-80.161271,40.427186
-94.37303,35.074158
-85.6863,32.6795
-86.710276,31.189965
-88.268614,33.083929
-85.301325,42.535835
-77.180887,38.166897
-88.943895,39.081576
-80.2498,33.4153
-81.3246,34.2785
-80.5404,33.5892
-82.157417,33.688556
-96.977991,36.006552
-80.115496,39.718879
-96.742333,34.397603
-99.582383,29.822053
-89.699728,39.714729
-94.892568,29.40242
-97.012993,39.219474
-95.433334,38.933334
-99.0997,37.31662
-92.18282,37.761128
-95.178004,39.633777
-95.333336,38.010277
-94.662087,34.450445
-89.647079,34.661465
-84.941527,42.812362
-74.39474,41.13899
-86.14529,42.0156
-86.271768,42.207732
-93.734,32.937
-92.988562,31.979426
-93.942389,32.263528
-98.109108,29.996447
-98.443086,35.933949
-100.01785,29.940666
-97.11668,33.93705
-94.802628,35.835178
-94.115202,31.524169
-83.3087,42.00272
-85.46352,42.9
-83.95081,43.4919
-85.979806,42.602167
-86.59259,41.88543
-95.6936,29.912192
-90.549444,36.971111
-79.27121,36.85865
-84.325457,39.811547
-97.673163,38.579833
-81.46157,39.818214
-83.966125,36.139453
-94.566284,32.215474
-80.059164,40.010028
-77.811293,39.85299
-79.975146,40.66364
-78.06778,40.54417
-84.9833,29.7256
-89.7007,37.8406
-91.3849,40.3973
-82.2167,41.2333
-84.3042,30.2333
-82.6,41.1
-89.0167,41.3403
-86.328033,32.224897
-80.194258,40.923943
-96.940322,36.702628
-95.608422,35.253687
-96.061844,35.619105
-84.917725,43.590037
-87.39,31.78
-88.11,32.78
-88.36,32.53
-85.47,32.92
-85.92,31.36
-86.83,32
-87.14,33
-87.75,32.69
-87.67,34.19
-87.5,33.25
-86.61,34.06
-85.5,33.53
-86.67,33.67
-87.53,33.72
-87.75,34.72
-88.03,34.78
-87.61,34.56
-88.14,34.53
-86.31,34.83
-86.06,34.61
-87.39,34.81
-87.14,34.33
-86.800458,34.417889
-86.698345,34.843207
-87.450495,34.382314
-86.395651,34.273306
-85.940356,34.257858
-87.284523,33.316321
-86.078105,33.839892
-85.768169,34.382224
-85.197476,32.308424
-85.76618,33.702775
-86.585517,34.38059
-87.670874,31.568373
-87.148994,32.294671
-87.760202,34.380643
-88.24457,31.946143
-86.67449,33.122615
-86.333306,34.63668
-86.968541,34.975656
-93.28,34.03
-93.64,33.83
-92.86,34.44
-93.64,34.39
-94.11,34.47
-92.53,34.72
-92.69,34.56
-94.14,34.78
-94.06,35.17
-92.5,36.47
-92.92,36.36
-93.14,36.31
-93.75,35.69
-91.47,35.89
-91.69,35.86
-93.53,35.92
-92.69,36.36
-92.64,36.17
-93.19,36.06
-91.36,36.11
-92.14,36.03
-92.39,35.78
-94.42,35.81
-94.25415,34.056204
-91.783778,34.272237
-90.406727,36.359963
-90.523524,35.32392
-91.308027,34.939676
-91.909543,35.956654
-92.00453,36.213396
-92.994812,35.86352
-93.413143,36.089333
-91.502125,36.314911
-92.596259,35.680105
-91.557908,35.560315
-91.685092,36.169823
-93.27293,35.833395
-92.750272,35.54373
-94.470507,36.376755
-92.390012,36.048788
-92.333598,36.263694
-93.660759,36.394461
-93.945339,35.893343
-90.929285,36.372413
-92.61527,35.871328
-93.297137,36.437549
-92.823037,36.043666
-91.874322,35.740016
-83.501494,34.035024
-85.254804,34.828917
-81.523788,30.901226
-91.51,43.17
-91.33,42.81
-91.04,42.71
-93.87,42
-91.72,40.63
-94.07,42.4
-94,42.21
-94.3,41.35
-94.99,40.59
-94.032623,41.319117
-92.503651,41.043268
-93.714016,41.742363
-93.842054,40.643657
-92.604945,40.866118
-90.738654,42.08242
-89.03,37.94
-88.58,38.11
-88.14,37.56
-88.75,37.17
-90,38.03
-89.25,37.42
-89.5,38.78
-90.64,38.92
-90.53,39.5
-90.56,39.25
-90.39,39
-89.86,39.08
-90.08,39
-89.06,38.78
-88.92,38.61
-89.58,39.25
-89.92,38.56
-87.67,38.5
-89.61,38.36
-89.5,41.28
-90.11,40.03
-88.39,40.25
-87.64,39.53
-88.67,41.28
-89.39,40.97
-89.72,39.92
-90.67,39.75
-90.81,39.44
-89.31,41.17
-89.36,40.47
-87.72,40.08
-87.692284,38.807527
-88.050961,39.615585
-88.916092,39.566372
-90.116132,39.549721
-89.561447,40.652491
-89.977949,39.309306
-90.30497,39.752113
