long,lat
-91.245104,43.58815
-88.950111,43.074551
-89.360125,42.555008
-76.97038,44.114313
-79.997825,40.585063
-88.908959,42.258036
-77.106132,39.200488
-71.647869,42.46046
-86.005201,37.628352
-87.534775,41.479644
-82.875339,42.067093
-71.321532,42.45865
-75.341711,45.02662
-73.259724,45.371738
-87.532933,41.482606
-75.383868,44.950554
-84.556488,39.996812
-71.791539,41.385281
-83.775888,41.653866
-73.861962,42.474895
-90.89,41.4
-78.250977,44.563797
-73.925454,40.791563
-82.173455,41.225185
-78.334419,44.564518
-71.373772,42.442713
-73.195633,44.964167
-80.366387,40.506667
-90.767075,41.438378
-77.944975,44.316736
-69.969441,41.698111
-72.53841,42.419614
-82.431338,41.016464
-81.229122,41.223007
-80.361269,40.50371
-81.810872,42.633937
-69.358368,44.62602
-79.551389,42.854722
-80.743737,36.563647
-81.294209,41.614455
-84.382783,42.811595
-82.071311,41.260604
-74.212287,41.687437
-93.585619,42.102461
-74.041544,45.464636
-81.646945,41.181721
-91.327598,43.999521
-73.400946,44.030932
-73.084037,45.088309
-73.246373,45.118699
-83.087219,42.226812
-71.334197,42.479162
-72.615555,42.424
-92.619908,44.852192
-73.245144,44.916078
-73.841389,42.885278
-75.324381,45.043992
-77.64208,41.036799
-75.264976,38.821723
-73.289592,45.107063
-75.383702,44.950352
-77.071999,39.975205
-73.265339,45.452388
-78.333267,43.317154
-84.352728,43.532372
-84.63617,40.502945
-78.159759,44.555074
-70.889625,42.781295
-73.201152,44.949507
-89.048749,42.562393
-88.824378,43.08727
-73.244648,44.918827
-87.648726,40.2088
-81.792358,41.222992
-75.292255,40.78583
-75.329735,39.754036
-72.669936,40.945965
-94.6131,38.1944
-94.789798,38.422565
-95.2794,38.6248
-94.9455,39.3587
-92.309176,42.885565
-72.511823,42.240408
-72.352586,42.062889
-83.20153,42.78654
-84.4504,42.092
-79.1701,42.02648
-78.338263,44.559988
-81.157348,41.422095
-74.492765,40.710775
-77.580375,38.80558
-73.92712,40.79165
-91.862533,39.711019
-90.304722,43.269445
-91.908961,44.264845
-82.718437,42.687988
-74.734754,41.295257
-71.44972,41.55389
-80.491667,42.666667
-75.875833,44.416667
-80.38803,42.764238
-83.937478,42.311283
-82.895619,42.063058
-85.586374,44.774235
-75.355567,44.985388
-73.344842,44.664842
-79.997365,40.585243
-73.255957,44.808838
-75.341797,45.026564
-79.103973,42.612145
-81.737187,41.114177
-74.354771,41.402926
-86.991175,39.519832
-73.248138,45.120113
-70.854812,41.955092
-72.337477,42.257071
-89.63427,42.816437
-73.292295,41.564952
-74.046447,40.690272
-73.199849,44.966309
-77.492358,38.875038
-73.209648,44.955895
-81.159732,41.425895
-86.508695,39.006688
-88.013063,41.532642
-78.444216,38.023796
-76.075392,39.72605
-77.79678,40.781737
-78.261245,44.556146
-83.981823,42.464931
-73.175071,43.915942
-76.13144,42.989758
-92.184068,38.900647
-90.568022,45.21297
-74.559862,40.34975
-75.234962,40.462868
-77.499053,38.877778
-80.00858,40.604956
-92.33915,38.980417
-73.127477,44.441494
-70.847394,42.799194
-82.186304,39.239205
-73.311584,44.221428
-73.079888,45.021283
-77.945005,44.316976
-74.717133,40.69857
-73.295264,44.770783
-74.1711,40.63018
-87.535157,41.479785
-73.262736,43.95203
-91.907722,44.26485
-81.295414,41.607812
-72.3795,41.101147
-81.989628,40.432097
-88.120408,44.257695
-73.464187,44.500034
-77.534875,38.997105
-88.004704,40.052834
-74.074812,41.646458
-74.780664,40.425346
-70.917295,42.765697
-88.59825,42.283987
-89.776941,42.253686
-91.167603,43.044753
-79.72677,43.039265
-71.648848,42.458498
-88.948905,42.531252
-81.786958,42.726748
-72.548188,42.421851
-73.265389,45.45237
-73.861642,42.474992
-71.407485,42.766957
-76.659928,39.647006
-85.463847,42.305085
-88.830495,43.275424
-89.050127,37.297818
-82.830063,42.171508
-70.856917,41.689804
-82.874986,42.066014
-73.433256,44.572719
-72.231371,42.371935
-88.233263,42.879767
-77.070737,38.690893
-79.518023,42.990756
-77.497108,38.862342
-74.52415,40.719115
-72.335537,42.242577
-73.257649,45.391862
-92.619457,44.851449
-79.80053,39.50497
-84.75432,38.884758
-74.7585,40.568725
-77.765311,38.718447
-80.013812,40.606725
-82.863418,42.068132
-86.784338,41.681012
-84.095772,35.851217
-92.940544,42.028088
-73.25283,42.460853
-73.165524,45.063767
-81.458238,42.763694
-92.359725,38.929138
-81.113525,41.298733
-84.414225,37.856287
-90.029386,40.552698
-91.626633,44.029392
-76.918734,42.099515
-73.183956,44.418448
-88.542683,41.641477
-82.96407,42.347083
-79.02792,42.18322
-79.171831,42.019128
-84.381675,42.826405
-80.420478,42.849121
-83.76638,40.649322
-74.303221,41.399523
-73.257003,45.392843
-75.34468,45.004958
-85.198073,42.619191
-72.218892,42.384065
-73.233916,44.395577
-91.181213,43.880597
-88.540269,41.641883
-81.792685,42.661456
-71.334989,42.478694
-71.334606,42.47753
-84.200619,37.620022
-89.010745,43.015634
-84.181475,43.615747
-78.269562,44.557987
-88.021696,44.634844
-83.397069,42.064116
-78.255785,44.55798
-71.339508,42.47512
-86.496835,40.055567
-81.39292,41.322691
-88.442603,41.78128
-89.2854,37.131175
-83.74715,38.060598
-81.231613,42.928225
-82.895614,42.063024
-76.687661,38.862717
-74.493609,40.726893
-93.59707,44.877413
-81.989715,40.431477
-78.160444,44.55152
-79.03393,42.18882
-82.817105,42.161403
-84.182018,43.616078
-81.92731,42.622843
-75.314585,40.412001
-77.546455,38.827945
-72.236747,42.373644
-86.326758,39.262571
-72.401267,42.570087
-91.909453,44.265262
-75.773711,38.681472
-74.045428,40.704182
-79.02901,42.18572
-74.54251,39.782023
-88.022098,44.635695
-73.265432,45.452405
-79.873292,43.042267
-84.342178,42.713955
-88.344871,42.290339
-75.343865,45.004127
-73.323907,45.063752
-82.973053,42.340072
-89.055704,37.296859
-71.345349,42.256804
-78.98358,43.05745
-88.183603,37.774497
-75.681564,39.340286
-80.613336,37.232712
-81.38274,41.07164
-75.097377,38.783942
-88.830462,43.275349
-74.025,45.494722
-73.516667,45.533333
-73.683333,45.416667
-73.283333,45.45
-73.3,45.066667
-73.95,45.366667
-74.633333,45.65
-73.25,45.133333
-73.25,45.1
-73.266667,45.316667
-73.152222,45.084444
-73.324444,45.0625
-74,45.45
-74.316944,45.207778
-74.083333,45.466667
-93.5075,38.179722
-69.760117,44.298461
-91.132697,42.132928
-73.255253,44.423361
-73.25716,45.393026
-75.192082,40.487707
-91.524521,41.686031
-81.514826,41.249428
-74.497364,40.763177
-82.799185,39.932978
-81.71526,39.96462
-90.93624,38.98763
-74.566615,40.498341
-74.569709,40.499269
-74.69959,40.701304
-72.528467,42.328271
-79.941974,37.355021
-73.822142,42.964378
-82.874959,42.066328
-71.629075,42.490425
-81.590591,41.306907
-93.06925,37.06582
-86.576512,39.278316
-74.520277,40.69704
-80.847855,41.399569
-73.151603,43.811103
-79.933108,40.778377
-90.333267,41.233938
-92.431755,44.029903
-77.192994,40.235746
-74.520369,40.697663
-76.415124,38.240457
-82.398344,42.671952
-72.455568,42.101205
-88.351776,40.276846
-79.552459,42.963644
-70.976785,41.539146
-69.772686,43.851616
-88.182808,37.773437
-89.424129,43.011278
-73.27395,45.428479
-82.73536,39.870682
-83.008274,40.198637
-84.59489,42.586975
-75.946579,39.73967
-79.03302,42.1856
-91.5268,40.1433
-89.771041,39.70535
-90.7889,40.4633
-72.528026,42.305051
-91.711944,40.118333
-90.293889,37.559722
-73.448045,45.594842
-73.934971,40.785119
-84.597397,42.586608
-84.543643,42.190131
-73.257125,45.392673
-89.052858,37.296861
-89.699997,39.714936
-79.870623,38.900444
-88.149444,39.403611
-88.185457,39.222673
-87.119934,38.720874
-89.396612,42.585183
-87.852747,38.250539
-87.138428,38.721983
-94.94449,39.355705
-73.5625,41.4194
-75.009068,40.370806
-77.343949,39.068463
-81.835144,42.71224
-73.76193,45.398021
-76.956,42.910063
-74.488798,40.710457
-84.649853,42.291114
-81.364085,36.387423
-75.336656,40.805556
-77.180833,44.167778
-72.957622,45.650911
-84.742882,38.83881
-70.761729,43.790317
-75.661389,39.186111
-75.350889,38.434222
-73.07971,45.021446
-91.468486,38.794755
-73.270666,44.968306
-88.409929,42.820394
-72.177855,42.108486
-73.96814,40.800049
-73.828221,40.839861
-73.954095,40.734538
-73.988409,40.721435
-73.957005,40.821509
-73.977999,40.748785
-73.783298,40.845571
-73.957236,40.821306
-74.009613,40.734643
-74.009991,40.734241
-73.998058,40.761191
-74.00944,40.736043
-73.789956,40.846506
-73.917402,40.763661
-74.24074,40.49939
-74.009577,40.735359
-73.941237,40.752349
-73.928844,40.757719
-73.91789,40.763063
-73.917648,40.763362
-73.996165,40.73102
-74.002428,40.733414
-74.009631,40.734624
-73.786409,40.847054
-73.851919,40.808629
-73.955911,40.732209
-73.921778,40.759641
-73.999314,40.749276
-73.985202,40.720743
-73.960761,40.816995
-73.968154,40.799997
-92.206111,39.946667
-92.776586,37.538229
-93.13527,38.93916
-71.468133,41.459186
-71.553117,42.014167
-81.399787,41.311968
-79.171801,42.027326
-79.179056,42.026678
-74.548879,39.810394
-90.342548,44.01893
-92.024339,44.459176
-72.9926,41.2286
-91.855944,39.7175
-73.247212,45.119473
-90.241185,43.192066
-74.691013,40.802824
-73.93602,41.54477
-88.214937,40.126847
-89.952742,43.34285
-73.251514,45.379455
-72.627122,42.455283
-73.259597,45.371942
-78.262904,44.557473
-88.648178,40.00531
-91.333772,43.998508
-77.695678,38.665642
-94.193055,39.178611
-91.130278,37.45
-76.3,39.9
-75.57861,40.32028
-76.177501,39.73892
-92.581667,39.448611
-90.7447,36.7608
-92.61916,40.19027
-84.635637,40.889488
-77.559892,38.620567
-79.457448,41.4948
-74.0538,45.46141
-90.67583,38.50361
-79.900923,43.344287
-91.571065,41.784942
-92.969383,42.023144
-77.602652,38.770832
-71.3564,42.461658
-71.533195,43.211758
-73.434624,44.574565
-77.793725,38.769858
-79.777656,43.191946
-75.34185,45.026547
-74.235742,40.502455
-92.749381,41.682622
-73.357995,44.869826
