long,lat
-75.187567,38.424383
-84.168194,33.625357
-89.787098,34.388685
-93.260331,33.92887
-77.455712,36.776028
-88.617363,35.202492
-100.55806,33.85833
-100.11681,35.72978
-99.51059,30.09119
-83.410928,36.051917
-96.549599,28.962505
-97.038374,34.279312
-91.980387,33.58115
-79.181295,39.019672
-98.922295,31.65292
-95.619281,33.140773
-87.481803,36.089561
-95.211425,32.724455
-88.319424,32.908559
-96.984366,30.84091
-85.466072,32.033367
-98.049755,30.660304
-95.975809,31.181225
-98.955079,30.737776
-97.875528,30.186017
-97.097972,34.092026
-80.395426,37.282425
-82.462875,29.727608
-98.358706,35.485421
-100.114071,35.214142
-96.04731,37.65021
-94.72579,37.82731
-95.179147,37.452926
-94.932398,39.371571
-94.97529,37.83239
-94.98695,38.943092
-93.836947,36.558582
-94.949997,38.233334
-95.18363,38.80336
-89.209122,31.447301
-94.13555,40.04666
-88.278456,35.959221
-99.40426,35.41199
-92.74305,38.97361
-92.566667,32.366667
-88.325,35.15
-88.592139,34.944694
-90.13027,31.06325
-89.22413,30.3576
-89.688917,31.175417
-74.528821,40.066169
-88.750519,30.399467
-76.740203,37.203833
-95.409887,38.872999
-97.505338,35.687438
-97.153773,29.957765
-79.243136,35.829513
-100.361397,32.372138
-86.256117,35.221279
-95.667744,33.343221
-78.554131,36.186833
-98.022076,30.020227
-99.198753,31.819553
-79.379091,36.712829
-99.952985,32.242109
-79.878342,36.999347
-78.386778,37.3458
-94.025872,30.814283
-85.942437,35.560162
-97.798972,30.968788
-97.524668,30.284081
-83.82882,35.5942
-98.709192,29.780177
-98.143235,34.76639
-88.885991,37.359368
-85.0438,35.546683
-77.898354,34.080566
-96.9458,33.186245
-95.18862,33.070084
-82.128473,39.433232
-97.989316,32.311331
-94.307275,39.483392
-77.395478,38.753922
-96.75156,33.738755
-92.191447,32.644293
-90.732827,37.562956
-80.7906,34.987924
-98.816437,30.501583
-97.318265,35.556146
-85.150864,34.597092
-74.933288,39.567436
-82.446213,35.31856
-95.736532,33.727033
-97.833904,33.240528
-97.79473,33.695033
-97.877867,33.45762
-96.532845,31.594547
-91.572862,38.903698
-96.709164,35.976958
-84.618954,37.763335
-81.555843,33.143763
-94.427251,35.998447
-84.956858,35.208637
-99.606302,32.210763
-98.754928,29.570976
-98.038061,31.111626
-92.699738,39.1624
-74.863595,41.024995
-92.282228,35.58237
-96.061936,35.619158
-88.035906,36.900524
-99.306203,34.905788
-83.543244,34.214742
-96.597887,34.322047
-77.650187,38.311502
-94.994025,37.569228
-98.629459,32.235211
-96.684517,31.323947
-99.81483,32.691857
-76.499731,38.940281
-77.664634,38.82913
-98.462711,33.431293
-79.826,36.638
-95.991778,32.357284
-83.309695,34.665906
-81.180358,35.817422
-95.784588,36.026581
-98.536046,34.735876
-98.559298,32.535081
-82.482727,38.64719
-97.784248,31.270506
-85.210775,32.987626
-96.015767,30.204336
-83.755333,34.978725
-75.357484,38.996948
-90.482913,38.976328
-77.052799,38.694631
-98.280453,30.140532
-83.399712,38.878863
-96.40091,33.47441
-90.12463,34.76333
-95.24837,38.36333
-94.71144,33.75028
-95.96472,38.53262
-89.292253,37.449883
-85.630874,38.351709
-88.704995,32.018739
-77.157374,35.697072
-76.003456,38.730297
-85.042183,35.042061
-88.473013,37.1273
-81.33746,36.463379
-80.93107,35.574287
-83.75431,36.108486
-98.289437,32.632653
-76.333754,39.833304
-78.910747,35.467836
-97.975655,31.46028
-79.117721,36.063845
-98.3111,31.24356
-88.77963,38.74013
-72.853611,40.773611
-88.129483,39.534767
-88.687158,39.486866
-99.817811,35.291032
-88.629333,30.562236
-94.925969,29.66892
-93.15083,40.26222
-86.584328,34.979355
-98.3029,32.43295
-98.210033,32.24815
-97.690178,30.686112
-78.319042,36.540892
-94.059139,33.766011
-76.44182,36.083197
-96.250622,29.417725
-76.028593,39.213959
-98.441667,35.061667
-74.72806,39.45222
-97.473488,33.547438
-100.52961,31.82777
-74.88156,39.01456
-82.499613,36.381061
-95.940476,36.698116
-77.59263,39.036205
-73.145182,40.964752
-89.034898,32.099729
-77.934775,38.990745
-75.641,38.35177
-89.876757,33.23833
-82.769653,35.86468
-84.466678,37.553097
-83.563994,32.465847
-80.639544,33.744954
-81.064167,31.970278
-92.736944,39.676111
-89.532072,36.852398
-93.593333,36.5025
-94.366111,39.929722
-99.226713,33.508176
-96.605551,35.799097
-87.989403,38.231049
-82.200278,39.136293
-98.406696,30.320465
-80.670588,37.057803
-76.510323,36.934598
-93.72045,34.149303
-91.501517,35.206892
-78.004672,39.198749
-96.067903,31.78153
-95.24915,35.900563
-93.671611,40.089028
-92.7,32.6
-84.061888,36.030374
-80.546128,37.433403
-96.855103,29.152381
-70.1344,41.7544
-97.445772,28.641073
-72.075067,40.998
-84.270109,35.930248
-83.401855,38.173838
-98.62133,30.236303
-82.389258,38.88263
-98.759728,29.245912
-76.947949,35.490783
-97.28916,29.09387
-84.799665,29.890147
-81.934371,30.815605
-84.883083,30.241138
-84.48463,30.01074
-81.903056,29.02
-84.285766,30.52917
-84.31449,30.12086
-75.734479,39.054527
-75.487145,39.34039
-95.208659,30.350476
-92.062028,33.150054
-77.88758,35.237103
-90.8005,31.150833
-89.205478,31.196654
-88.19341,34.617669
-88.625101,34.234108
-88.849444,33.786111
-90.11,36.739444
-92.281111,39.916667
-90.93198,35.67682
-92.74696,33.83931
-90.71968,35.5179
-82.014354,38.950134
-91.579221,33.575594
-91.139508,34.610677
-90.07583,40.174361
-89.411264,35.395036
-96.26603,31.991376
-94.202812,31.046825
-97.474139,32.848425
-77.380688,38.448555
-97.201177,30.497491
-99.106589,30.932147
-97.048736,33.411153
-82.186304,35.912199
-96.562547,32.636453
-74.660899,39.640605
-88.947237,30.60133
-97.194563,33.119123
-76.088756,38.438747
-89.896759,30.267743
-76.543267,38.55186
-85.821883,33.474275
-91.877464,36.07159
-89.5042,37.0944
-83.229187,36.665263
-88.28782,36.994717
-97.645925,32.208658
-86.309189,36.082022
-90.221245,32.232553
-79.055175,38.021974
-89.65726,39.155882
-95.559692,36.515069
-96.798912,36.32889
-94.779717,30.080758
-86.10665,38.130133
-95.356593,34.974019
-86.510087,34.587629
-94.189962,36.926081
-79.447801,35.991576
-94.691757,38.79987
-75.478992,38.525403
-98.505473,33.881973
-84.585473,30.766107
-75.523377,40.006044
-97.532598,32.618694
-98.265838,32.044778
-84.798858,36.553342
-80.387954,36.415279
-97.097065,32.587519
-90.623364,36.417366
-80.946945,32.657848
-97.098316,36.210184
-76.709358,38.772268
-81.530517,39.271422
-86.238647,37.316028
-80.762927,35.905747
-97.318216,32.510475
-89.292535,37.637967
-75.6389,38.0364
-91.377711,34.120023
-77.920088,38.013121
-79.405137,35.38932
-96.212355,30.567072
-86.028936,37.422529
-82.744858,36.702062
-94.171303,36.363106
-91.007217,30.597745
-76.847136,39.409303
-88.478103,33.051211
-84.641389,30.405
-85.891412,34.920147
-96.399583,30.674031
-75.474413,38.207794
-97.685097,29.433658
-94.31,33.17
-87.64,33.6
-87.64,32.6
-87.37,33.12
-91.35833,39.70833
-77.236585,39.795377
-78.143928,39.752214
-76.464438,40.248102
-75.847116,40.224258
-75.715458,39.895395
-83.95,30.4
-84.9833,29.7256
-96.42,32.45
-97.8717,31.7033
-77.388062,37.367
-95.452484,39.638202
-91.095527,30.356537
-85.724108,32.600966
-88.923602,38.031504
-96.213654,37.237867
-71.444282,41.585359
-78.5,39.125833
-99.48969,29.79592
-99.37498,31.46387
-75.239111,39.439888
-92.083939,37.653112
-95.587105,36.298855
-97.2025,30.753425
-97.027778,34.478889
-75.858947,40.532878
-90.636111,38.5325
-93.22222,39.75555
-73.430542,40.92638
-98.703903,32.007633
-98.497611,29.851269
-96.77417,31.861944
-79.817465,37.23313
-77.981094,37.604094
-93.1,36.55
-78.830688,39.222289
-78.950803,39.062329
-89.161313,37.938968
-89.443528,32.33651
-76.430388,38.189505
-75.819073,38.516114
-79.446339,34.950131
-90.055519,35.336822
-78.869168,34.140298
-81.321306,36.021092
-94.246357,35.779476
-77.081234,39.212012
-75.096596,38.774374
-94.948833,29.457128
-98.031251,32.816732
-78.898041,38.443426
-99.27206,30.189812
-93.989237,37.921555
-83.289397,39.940553
-83.35918,31.512757
-84.9077,35.797203
-77.319802,39.166401
-98.9458,30.337362
-97.680568,32.756026
-97.575475,29.619552
-83.47957,40.04572
-79.834153,37.652328
-95.575386,30.144058
-82.820416,38.063207
-81.411873,35.800715
-88.245561,36.315728
-92.321655,39.135782
-89.04625,37.730475
-88.063325,34.261558
-96.930978,31.575405
-81.749695,37.605387
-95.928908,37.03222
-74.228137,40.543657
-75.943542,38.922715
-87.250572,36.095775
-96.443838,30.20882
-99.430887,32.403972
-78.86635,36.072919
-99.080181,32.0219
-81.127945,38.12209
-98.608626,31.273002
-100.000283,35.548683
-78.554916,38.026852
-91.084312,38.766458
-95.735832,39.833889
-92.403758,35.226499
-95.116889,39.543618
-87.098149,36.497209
-85.072846,39.376258
-87.538919,33.321939
-88.979622,37.539233
-78.542839,35.772505
-79.338837,37.431898
-96.300967,32.743398
-94.338265,30.476305
-79.413867,36.249268
-80.029764,36.116033
-95.288933,29.336072
-81.903828,39.281433
-85.266045,32.380303
-86.53354,36.102701
-72.798202,40.961799
-87.406272,35.6058
-89.411475,31.346188
-75.752562,38.729826
-94.03201,33.193685
-81.611755,35.986088
