INFO  27-09 10:07:16,340 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/gabe/miniconda3/envs/R_newhybrids/share/pgdspider-2.1.1.5-1/spider.conf.xml
DEBUG 27-09 10:07:16,365 (ParserFactory.java:getParserInstance:157)  -New PedParser instance
DEBUG 27-09 10:07:16,372 (ParserFactory.java:getParserInstance:157)  -New PedParser instance
INFO  27-09 10:07:16,828 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/gabe/miniconda3/envs/R_newhybrids/share/pgdspider-2.1.1.5-1/spider.conf.xml
DEBUG 27-09 10:07:16,853 (ParserFactory.java:getParserInstance:157)  -New PedParser instance
DEBUG 27-09 10:07:16,860 (ParserFactory.java:getParserInstance:157)  -New PedParser instance
INFO  27-09 10:07:17,277 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/gabe/miniconda3/envs/R_newhybrids/share/pgdspider-2.1.1.5-1/spider.conf.xml
DEBUG 27-09 10:07:17,301 (ParserFactory.java:getParserInstance:157)  -New PedParser instance
DEBUG 27-09 10:07:17,308 (ParserFactory.java:getParserInstance:157)  -New PedParser instance
INFO  27-09 10:07:17,720 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/gabe/miniconda3/envs/R_newhybrids/share/pgdspider-2.1.1.5-1/spider.conf.xml
DEBUG 27-09 10:07:17,745 (ParserFactory.java:getParserInstance:157)  -New PedParser instance
DEBUG 27-09 10:07:17,752 (ParserFactory.java:getParserInstance:157)  -New PedParser instance
INFO  30-09 12:10:01,356 (PGDSpiderConfig.java:loadConfig:64)  -load PGDSpider configuration from: /home/gabe/miniconda3/envs/R_newhybrids/share/pgdspider-2.1.1.5-1/spider.conf.xml
DEBUG 30-09 12:10:01,537 (ParserFactory.java:getParserInstance:157)  -New PedParser instance
DEBUG 30-09 12:10:01,555 (ParserFactory.java:getParserInstance:157)  -New PedParser instance
