ind_ID spp Pure_mue Pure_mac F1 F2 Bx1_mue Bx1_mac Bx2_mue Bx2_mac Bx3_mue Bx3_mac
QUE002481_mue mue 0.99984 0 0 0 0 0 0 0 0.00016 0
QUE002579_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002364_mac mac 0 0.99868 0 0 0 0 0 0 0 0.00132
QUE002369_mac mac 0 0.99987 0 0 0 0 0 0 0 0.00013
QUE002371_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE002373_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002374_mac mac 0 0.99841 0 0 0 0 0 2e-05 0 0.00157
QUE001610_mac mac 0 0.99919 0 0 0 0 0 1e-05 0 8e-04
QUE001796_mac mac 0 0.99909 0 0 0 0 0 0 0 0.00091
QUE001878_mac mac 0 0.99303 0 0 0 0 0 0.00063 0 0.00633
QUE001886_mac mac 0 0 1 0 0 0 0 0 0 0
QUE001898_mue mue 0 0 1 0 0 0 0 0 0 0
QUE001900_mac mac 0 0.99983 0 0 0 0 0 0 0 0.00017
QUE001904_mac mac 0 0.9957 0 0 0 0 0 6e-05 0 0.00423
QUE001912_mac mac 0 0.99984 0 0 0 0 0 0 0 0.00016
QUE001924_mac mac 0 0.99804 0 0 0 0 0 1e-05 0 0.00195
QUE001928_mac mac 0 0.99983 0 0 0 0 0 0 0 0.00017
QUE001929_mac mac 0 0.9997 0 0 0 0 0 0 0 3e-04
QUE001930_mue mue 0.99996 0 0 0 0 0 0 0 4e-05 0
QUE001936_mac mac 0 0.99994 0 0 0 0 0 0 0 6e-05
QUE001938_mue mue 0.9981 0 0 0 0 0 2e-05 0 0.00189 0
QUE001959_mac mac 0 0.99985 0 0 0 0 0 0 0 0.00015
QUE001969_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001980_mac mac 0 0.99287 0 0 0 0 0 4e-05 0 0.00709
QUE001985_mac mac 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE002058_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002068_mac mac 0 0.99983 0 0 0 0 0 0 0 0.00017
QUE002069_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002072_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002073_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002076_mac mac 0 0.99993 0 0 0 0 0 0 0 7e-05
QUE002083_mac mac 0 0.99995 0 0 0 0 0 0 0 5e-05
QUE002084_mac mac 0 0.99331 0 0 0 0 0 0.00016 0 0.00654
QUE002087_mac mac 0 0.99977 0 0 0 0 0 0 0 0.00023
QUE002096_mac mac 0 0.99991 0 0 0 0 0 0 0 9e-05
QUE002110_mac mac 0 0.99977 0 0 0 0 0 0 0 0.00023
QUE002114_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002119_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002135_mac mac 0 0.99931 0 0 0 0 0 0 0 0.00068
QUE002136_mac mac 0 0.99889 0 0 0 0 0 0 0 0.00111
QUE002148_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002151_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002159_mac mac 0 0.99039 0 0 0 0 0 0.00086 0 0.00875
QUE002160_mac mac 0 0.99994 0 0 0 0 0 0 0 6e-05
QUE002161_mac mac 0 0.98719 0 0 0 0 0 6e-05 0 0.01275
QUE002166_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002170_mac mac 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE002175_mac mac 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE002194_mac mac 0 0.99987 0 0 0 0 0 0 0 0.00013
QUE002202_mac mac 0 0.99989 0 0 0 0 0 0 0 0.00011
QUE002226_mue mue 0.99992 0 0 0 0 0 0 0 8e-05 0
QUE002256_mac mac 0 0.99992 0 0 0 0 0 0 0 8e-05
QUE002265_mac mac 0 0.99994 0 0 0 0 0 0 0 6e-05
QUE002267_mue mue 1 0 0 0 0 0 0 0 0 0
QUE002268_mac mac 0 0.99984 0 0 0 0 0 0 0 0.00015
QUE002290_mue mue 0.99948 0 0 0 0 0 0 0 0.00052 0
QUE002291_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE002299_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002310_mue mue 0.99969 0 0 0 0 0 0 0 0.00031 0
QUE002338_mac mac 0 0.9994 0 0 0 0 0 0 0 6e-04
QUE002379_mac mac 0 0.99983 0 0 0 0 0 0 0 0.00017
QUE002384_mac mac 0 0.99973 0 0 0 0 0 0 0 0.00027
QUE002393_mac mac 0 0.96385 0 0 0 0 0 0.00363 0 0.03253
QUE002404_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002411_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002417_mac mac 0 0.99799 0 0 0 0 0 2e-05 0 0.00198
QUE002427_mac mac 0 0.99856 0 0 0 0 0 1e-05 0 0.00143
QUE002430_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002433_mac mac 0 0.99993 0 0 0 0 0 0 0 7e-05
QUE002443_mac mac 0 0.99982 0 0 0 0 0 0 0 0.00018
QUE002445_mac mac 0 0.99862 0 0 0 0 0 1e-05 0 0.00137
QUE002450_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002453_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002454_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE002459_mac mac 0 0.99985 0 0 0 0 0 0 0 0.00015
QUE002460_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002467_mac mac 0 0.99995 0 0 0 0 0 0 0 5e-05
QUE002474_mac mac 0 0.99975 0 0 0 0 0 0 0 0.00025
QUE002478_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002484_mue mue 0.99007 0 0 0 0 0 2e-05 0 0.00991 0
QUE002488_mue mue 0.93929 0 0 0 0 0 0.00099 0 0.05971 0
QUE002492_mac mac 0 0.99988 0 0 0 0 0 0 0 0.00012
QUE002496_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002502_mac mac 0 0.9985 0 0 0 0 0 1e-05 0 0.00148
QUE002510_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002515_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002518_mac mac 0 0.99943 0 0 0 0 0 0 0 0.00057
QUE002520_mac mac 0 0.99995 0 0 0 0 0 0 0 5e-05
QUE002521_mac mac 0 0.99972 0 0 0 0 0 0 0 0.00028
QUE002533_mac mac 0 0.99988 0 0 0 0 0 0 0 0.00012
QUE002542_mac mac 0 0.99992 0 0 0 0 0 0 0 8e-05
QUE002558_mac mac 0 0.99994 0 0 0 0 0 0 0 6e-05
QUE002559_mac mac 0 0.99918 0 0 0 0 0 0 0 0.00082
QUE002560_mac mac 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE002564_mac mac 0 0.99948 0 0 0 0 0 0 0 0.00052
QUE002581_mac mac 0 0.99508 0 0 0 0 0 7e-05 0 0.00485
QUE002570_mac mac 0 0.99993 0 0 0 0 0 0 0 7e-05
QUE001632_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE001635_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001636_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001638_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001644_mac mac 0 0.99992 0 0 0 0 0 0 0 8e-05
QUE001645_mac mac 0 0.99993 0 0 0 0 0 0 0 7e-05
QUE001647_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001648_mac mac 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE001649_mue mue 0.99992 0 0 0 0 0 0 0 8e-05 0
QUE001651_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001656_mac mac 0 0.99987 0 0 0 0 0 0 0 0.00013
QUE001658_mac mac 0 0.99993 0 0 0 0 0 0 0 7e-05
QUE001661_mac mac 0 0.9997 0 0 0 0 0 0 0 3e-04
QUE001664_mac mac 0 0.9999 0 0 0 0 0 0 0 1e-04
QUE001665_mue mue 0.99928 0 0 0 0 0 0 0 0.00072 0
QUE001667_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001668_mac mac 0 0.9997 0 0 0 0 0 0 0 3e-04
QUE001676_mac mac 0 0.99988 0 0 0 0 0 0 0 0.00012
QUE001677_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001678_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE001679_mac mac 0 0.99971 0 0 0 0 0 0 0 0.00029
QUE001684_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE001686_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE001687_mac mac 0 0.9981 0 0 0 0 0 0 0 0.0019
QUE001690_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001691_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001697_mac mac 0 0.99974 0 0 0 0 0 0 0 0.00026
QUE001700_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001705_mac mac 0 0.99913 0 0 0 0 0 1e-05 0 0.00087
QUE001706_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE001713_mac mac 0 0.99986 0 0 0 0 0 0 0 0.00014
QUE001716_mac mac 0 0.99597 0 0 0 0 0 0.00011 0 0.00392
QUE001719_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE001721_mac mac 0 0.99986 0 0 0 0 0 0 0 0.00014
QUE001723_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE001724_mac mac 0 1 0 0 0 0 0 0 0 0
QUE001652_mac mac 0 0.99964 0 0 0 0 0 0 0 0.00036
QUE001655_mac mac 0 0.99967 0 0 0 0 0 0 0 0.00033
QUE001670_mac mac 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE001673_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001680_mac mac 0 0.99993 0 0 0 0 0 0 0 7e-05
QUE001682_mac mac 0 0.99987 0 0 0 0 0 0 0 0.00013
