ind_ID spp Pure_alb Pure_mac F1 F2 Bx1_alb Bx1_mac Bx2_alb Bx2_mac Bx3_alb Bx3_mac
QUE002302_mac mac 0 0.99976 0 0 0 0 0 0 0 0.00024
QUE002304_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002336_mac mac 0 0.99987 0 0 0 0 0 0 0 0.00013
QUE002337_alb alb 0.99973 0 0 0 0 0 0 0 0.00027 0
QUE002355_alb alb 0.99998 0 0 0 0 0 0 0 2e-05 0
QUE002367_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002399_alb alb 0.99584 0 0 0 0 0 7e-05 0 0.00409 0
QUE002400_mac mac 0 0.9996 0 0 0 0 0 0 0 4e-04
QUE002424_mac mac 0 0.99952 0 0 0 0 0 0 0 0.00048
QUE002471_mac mac 0 0.99892 0 0 0 0 0 0 0 0.00108
QUE002480_mac mac 0 0.9999 0 0 0 0 0 0 0 1e-04
QUE002493_alb alb 0.9992 0 0 0 0 0 1e-05 0 0.00079 0
QUE002526_alb alb 0.99971 0 0 0 0 0 0 0 0.00029 0
QUE002535_alb alb 0.99997 0 0 0 0 0 0 0 3e-05 0
QUE002579_mac mac 0 0.99935 0 0 0 0 0 0 0 0.00065
QUE002364_mac mac 0 1 0 0 0 0 0 0 0 0
QUE002369_mac mac 0 0.99876 0 0 0 0 0 0 0 0.00124
QUE002370_alb alb 0.99986 0 0 0 0 0 0 0 0.00014 0
QUE002371_mac mac 0 0.99997 0 0 0 0 0 0 0 3e-05
QUE002373_mac mac 0 0.99987 0 0 0 0 0 0 0 0.00013
QUE002374_mac mac 0 0.99959 0 0 0 0 0 0 0 0.00041
QUE002375_alb alb 0.03085 0 0 0 0 0 0.59341 0 0.37574 0
QUE001610_mac mac 0 0.99683 0 0 0 0 0 4e-05 0 0.00313
QUE001796_mac mac 0 0.99992 0 0 0 0 0 0 0 8e-05
QUE001846_alb alb 0.9997 0 0 0 0 0 0 0 0.00029 0
QUE001878_mac mac 0 0.99983 0 0 0 0 0 0 0 0.00017
QUE001885_alb alb 0 0 1 0 0 0 0 0 0 0
QUE001900_mac mac 0 0.99967 0 0 0 0 0 0 0 0.00033
QUE001904_mac mac 0 0.99936 0 0 0 0 0 0 0 0.00063
QUE001912_mac mac 0 0.99974 0 0 0 0 0 0 0 0.00026
QUE001920_alb alb 0 0 0.99999 1e-05 0 0 0 0 0 0
QUE001922_mac mac 0 0 1 0 0 0 0 0 0 0
QUE001924_mac mac 0 0.99831 0 0 0 0 0 2e-05 0 0.00167
QUE001928_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE001929_mac mac 0 0.99982 0 0 0 0 0 0 0 0.00018
QUE001936_mac mac 0 0.99999 0 0 0 0 0 0 0 1e-05
QUE001943_alb alb 0.99987 0 0 0 0 0 0 0 0.00013 0
QUE001959_mac mac 0 0.99992 0 0 0 0 0 0 0 8e-05
QUE001969_mac mac 0 0.99996 0 0 0 0 0 0 0 4e-05
QUE001980_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE001985_mac mac 0 0.99988 0 0 0 0 0 0 0 0.00012
QUE002058_mac mac 0 0.99927 0 0 0 0 0 0 0 0.00072
QUE002068_mac mac 0 0.99995 0 0 0 0 0 0 0 5e-05
QUE002069_mac mac 0 0.99909 0 0 0 0 0 1e-05 0 9e-04
QUE002072_mac mac 0 0.9997 0 0 0 0 0 0 0 3e-04
QUE002073_mac mac 0 0.99909 0 0 0 0 0 0 0 9e-04
QUE002076_mac mac 0 0.99912 0 0 0 0 0 1e-05 0 0.00087
QUE002083_mac mac 0 0.99961 0 0 0 0 0 0 0 0.00039
QUE002084_mac mac 0 0.99905 0 0 0 0 0 1e-05 0 0.00094
QUE002087_mac mac 0 0.99975 0 0 0 0 0 0 0 0.00025
QUE002096_mac mac 0 0.99987 0 0 0 0 0 0 0 0.00013
QUE002106_mac mac 0 0 1 0 0 0 0 0 0 0
QUE002109_alb alb 0.9999 0 0 0 0 0 0 0 1e-04 0
QUE002110_mac mac 0 0.99968 0 0 0 0 0 0 0 0.00032
QUE002114_mac mac 0 0.99986 0 0 0 0 0 0 0 0.00014
QUE002119_mac mac 0 0.99989 0 0 0 0 0 0 0 0.00011
QUE002124_alb alb 0.9999 0 0 0 0 0 0 0 1e-04 0
QUE002128_alb alb 0.99997 0 0 0 0 0 0 0 3e-05 0
QUE002135_mac mac 0 0.95798 0 0 0 0 0 0.00263 0 0.03939
QUE002136_mac mac 0 0.99984 0 0 0 0 0 0 0 0.00016
QUE002147_mac mac 0 0.99989 0 0 0 0 0 0 0 0.00011
QUE002148_mac mac 0 0.99981 0 0 0 0 0 0 0 0.00019
QUE002149_alb alb 0 0 1 0 0 0 0 0 0 0
QUE002151_mac mac 0 0.99992 0 0 0 0 0 0 0 8e-05
QUE002159_mac mac 0 0.97803 0 0 0 0 0 0.00091 0 0.02106
QUE002160_mac mac 0 0.99989 0 0 0 0 0 0 0 0.00011
QUE002161_mac mac 0 0.99998 0 0 0 0 0 0 0 2e-05
QUE002166_mac mac 0 0.96257 0 0 0 0 0 0.00041 0 0.03702
QUE002170_mac mac 0 0.99975 0 0 0 0 0 0 0 0.00025
QUE002175_mac mac 0 0.99991 0 0 0 0 0 0 0 9e-05
QUE002176_alb alb 0.99904 0 0 0 0 0 0 0 0.00096 0
QUE002194_mac mac 0 0.99973 0 0 0 0 0 0 0 0.00027
QUE002202_mac mac 0 0.96443 0 0 0 0 0 0.00054 0 0.03504
QUE002216_alb alb 0.99997 0 0 0 0 0 0 0 3e-05 0
QUE002225_alb alb 0.99853 0 0 0 0 0 1e-05 0 0.00146 0
