"","mukey","pondfreqcl_dc","flodfreqcl_dc","drclassdcd","aws0100wta"
"130",2108716,"None","None","Moderately well drained","13.79"
"131",2108717,"None","None","Moderately well drained","14.64"
"132",2108718,"None","None","Moderately well drained","13.16"
"133",2108721,"None","None","Moderately well drained","15.32"
"134",2108725,"None","None","Moderately well drained","14.19"
"135",2108731,"Frequent","None","Poorly drained","14.32"
"136",2108738,"None","None","Somewhat poorly drained","14.83"
"137",2108755,"Frequent","None","Very poorly drained","16.56"
"138",2108767,"None","None","Well drained","13.01"
"139",2375836,"None","Rare","Somewhat excessively drained","5.59"
"140",2431379,"None","None","Somewhat poorly drained","21"
"141",2499062,"None","Frequent","Well drained","5.12"
"142",2501325,"None","Frequent","Excessively drained","1"
"143",2501377,"None","None","Well drained","15.68"
"144",2501585,"None","None","Moderately well drained","13.67"
"145",2501629,"None","None","Somewhat excessively drained","9.41"
"146",2501760,"None","None","Somewhat excessively drained","10.84"
"147",2504291,"None","Frequent","Somewhat poorly drained","20.51"
"148",2504320,"Frequent","Frequent","Very poorly drained","38.54"
"149",2532847,"None","None","Well drained","19.36"
"150",2533532,"None","Frequent","Well drained","19.46"
"151",2533925,"None","None","Well drained","9.4"
"152",2534519,"None","None","Well drained","9.24"
"153",2536161,"None","None","Moderately well drained","13.77"
"154",2561807,"None","None","Well drained","12.68"
"155",2561809,"None","None","Well drained","8.01"
"156",2567855,"None","None","Moderately well drained","14.42"
"157",2586534,"None","None","Well drained","10.13"
"158",2606448,"None","None","Moderately well drained","17.32"
"159",2606465,"None","None","Poorly drained","19.84"
"160",2668810,"None","None","Well drained","9.45"
"161",2733259,"None","None","Well drained","16.44"
"162",2745688,"None","None","Well drained","14.72"
"163",2800480,"None","None","Somewhat poorly drained","19.04"
"164",2809845,"None","None","Well drained","11.12"
"165",2809846,"None","None","Well drained","10.54"
"166",2834933,"None","None","Well drained","18.16"
"167",2835194,"None","None","Poorly drained","18.93"
"168",2916702,"None","None","Well drained","18"
"169",3056115,"None","None","Moderately well drained","11.86"
"170",3056117,"None","None","Moderately well drained","10.78"
