"","ffd","ind_ID"
"245",122,"QUE002141"
"246",123,"QUE002143"
"247",122,"QUE002147"
"248",135,"QUE002148"
"249",135,"QUE002149"
"250",135,"QUE002150"
"251",137,"QUE002151"
"252",135,"QUE002153"
"253",135,"QUE002154"
"254",135,"QUE002155"
"255",135,"QUE002157"
"256",134,"QUE002158"
"257",134,"QUE002159"
"258",135,"QUE002160"
"259",135,"QUE002161"
"260",135,"QUE002164"
"261",164,"QUE002166"
"262",164,"QUE002170"
"263",164,"QUE002175"
"264",191,"QUE002176"
"265",191,"QUE002180"
"266",191,"QUE002183"
"267",190,"QUE002187"
"268",190,"QUE002188"
"269",190,"QUE002189"
"270",191,"QUE002193"
"271",160,"QUE002194"
"272",160,"QUE002195"
"273",160,"QUE002196"
"274",160,"QUE002202"
"275",160,"QUE002208"
"276",160,"QUE002209"
"277",160,"QUE002210"
"278",155,"QUE002216"
"279",155,"QUE002219"
"280",155,"QUE002225"
"281",150,"QUE002226"
"282",177,"QUE002229"
"283",182,"QUE002232"
"284",182,"QUE002239"
"285",182,"QUE002240"
"286",177,"QUE002247"
"287",177,"QUE002250"
"288",182,"QUE002251"
"289",182,"QUE002252"
"290",182,"QUE002253"
"291",182,"QUE002256"
"292",182,"QUE002261"
"293",182,"QUE002265"
"294",171,"QUE002267"
"295",171,"QUE002268"
"296",171,"QUE002269"
"297",171,"QUE002275"
"298",171,"QUE002282"
"299",171,"QUE002283"
"300",171,"QUE002284"
"301",171,"QUE002285"
"302",171,"QUE002290"
"303",171,"QUE002291"
"304",153,"QUE002295"
"305",153,"QUE002299"
"306",153,"QUE002302"
"307",153,"QUE002303"
"308",153,"QUE002304"
"309",153,"QUE002310"
"310",137,"QUE002313"
"311",139,"QUE002314"
"312",137,"QUE002315"
"313",137,"QUE002319"
"314",137,"QUE002324"
"315",135,"QUE002326"
"316",135,"QUE002331"
"317",135,"QUE002335"
"318",129,"QUE002336"
"319",129,"QUE002337"
"320",129,"QUE002338"
"321",129,"QUE002339"
"322",129,"QUE002341"
"323",129,"QUE002342"
"324",127,"QUE002346"
"325",127,"QUE002347"
"326",127,"QUE002351"
"327",127,"QUE002355"
"328",127,"QUE002356"
"329",127,"QUE002360"
"330",127,"QUE002361"
"331",127,"QUE002362"
"332",125,"QUE002363"
"333",125,"QUE002364"
"334",125,"QUE002365"
"335",125,"QUE002366"
"336",125,"QUE002367"
"337",125,"QUE002368"
"338",134,"QUE002369"
"339",134,"QUE002370"
"340",125,"QUE002371"
"341",125,"QUE002373"
"342",125,"QUE002374"
"343",125,"QUE002375"
"344",125,"QUE002379"
"345",125,"QUE002383"
"346",138,"QUE002384"
"347",138,"QUE002385"
"348",138,"QUE002392"
"349",138,"QUE002393"
"350",138,"QUE002399"
"351",138,"QUE002400"
"352",117,"QUE002404"
"353",117,"QUE002410"
"354",117,"QUE002411"
"355",117,"QUE002416"
"356",117,"QUE002417"
"357",117,"QUE002422"
"358",137,"QUE002424"
"359",137,"QUE002427"
"360",137,"QUE002430"
"361",129,"QUE002433"
"362",129,"QUE002436"
"363",129,"QUE002443"
"364",146,"QUE002445"
"365",146,"QUE002450"
"366",148,"QUE002453"
"367",148,"QUE002454"
"368",148,"QUE002455"
"369",148,"QUE002459"
"370",148,"QUE002460"
"371",148,"QUE002463"
"372",148,"QUE002467"
"373",147,"QUE002471"
"374",147,"QUE002474"
"375",147,"QUE002478"
"376",146,"QUE002480"
"377",146,"QUE002481"
"378",146,"QUE002484"
"379",146,"QUE002487"
"380",146,"QUE002488"
"381",146,"QUE002492"
