ind_ID sppcode mac_frac alb_frac bic_frac ste_frac mue_frac
QUE001819_mue mue 1e-05 1e-05 1e-05 1e-05 0.99996
QUE001839_ste ste 1e-05 1e-05 1e-05 0.99996 1e-05
QUE001840_mue mue 1e-05 1e-05 1e-05 1e-05 0.99996
QUE001841_alb alb 0.177169 0.822801 1e-05 1e-05 1e-05
QUE001862_ste ste 1e-05 1e-05 1e-05 0.99996 1e-05
QUE001863_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001893_mue mue 1e-05 1e-05 1e-05 1e-05 0.99996
QUE001916_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001918_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE001932_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE001933_mac mac 0.984518 1e-05 1e-05 1e-05 0.015452
QUE001783_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001880_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001907_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE001937_mac mac 0.977538 1e-05 0.022432 1e-05 1e-05
QUE001963_mac mac 0.994634 1e-05 0.005336 1e-05 1e-05
QUE001971_mac mac 0.992549 1e-05 1e-05 1e-05 0.007421
QUE001982_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002057_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002074_mac mac 0.994736 1e-05 1e-05 1e-05 0.005234
QUE002075_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002081_mac mac 0.991854 0.006238 1e-05 1e-05 0.001888
QUE002082_mac mac 0.986142 1e-05 1e-05 1e-05 0.013828
QUE002085_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002091_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002098_mue mue 1e-05 1e-05 1e-05 1e-05 0.99996
QUE002105_mac mac 0.975736 0.006898 1e-05 0.008545 0.008811
QUE002108_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002121_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002129_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002133_mac mac 0.867342 0.041484 0.091153 1e-05 1e-05
QUE002138_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002154_mac mac 0.974272 1e-05 0.025698 1e-05 1e-05
QUE002155_alb alb 0.156464 0.525603 0.317914 1e-05 1e-05
QUE002187_mac mac 0.975629 1e-05 1e-05 1e-05 0.024341
QUE002188_ste ste 1e-05 1e-05 1e-05 0.99996 1e-05
QUE002189_mue mue 1e-05 1e-05 1e-05 1e-05 0.99996
QUE002196_bic bic 1e-05 1e-05 0.99996 1e-05 1e-05
QUE002209_ste ste 1e-05 1e-05 1e-05 0.99996 1e-05
QUE002210_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002219_ste ste 1e-05 1e-05 1e-05 0.99996 1e-05
QUE002247_mue mue 1e-05 1e-05 1e-05 1e-05 0.99996
QUE002251_mac mac 0.999843 1e-05 1e-05 1e-05 0.000127
QUE002252_ste ste 1e-05 1e-05 1e-05 0.99996 1e-05
QUE002253_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002285_mue mue 1e-05 1e-05 1e-05 1e-05 0.99996
QUE002302_mac mac 0.99453 1e-05 0.00544 1e-05 1e-05
QUE002303_mue mue 1e-05 1e-05 1e-05 1e-05 0.99996
QUE002304_mac mac 0.993363 1e-05 1e-05 1e-05 0.006607
QUE002326_mac mac 0.521244 1e-05 0.478721 1e-05 1.4e-05
QUE002336_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002337_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002355_alb alb 0.01219 0.98778 1e-05 1e-05 1e-05
QUE002361_bic bic 0.5288 1e-05 0.47117 1e-05 1e-05
QUE002367_mac mac 0.993048 0.006922 1e-05 1e-05 1e-05
QUE002399_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002400_mac mac 0.989209 1e-05 1e-05 1e-05 0.010761
QUE002424_mac mac 0.989499 0.010471 1e-05 1e-05 1e-05
QUE002471_mac mac 0.99399 1e-05 1e-05 0.00598 1e-05
QUE002480_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002481_mue mue 1e-05 1e-05 1e-05 1e-05 0.99996
QUE002493_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002526_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002528_bic bic 1e-05 1e-05 0.99996 1e-05 1e-05
QUE002535_alb alb 0.017856 0.982114 1e-05 1e-05 1e-05
QUE002579_mac mac 0.98956 0.01041 1e-05 1e-05 1e-05
QUE002364_mac mac 0.992953 1e-05 1e-05 1e-05 0.007017
QUE002369_mac mac 0.993861 1e-05 1e-05 1e-05 0.006109
QUE002370_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE002371_mac mac 0.997984 1e-05 1e-05 1e-05 0.001986
QUE002373_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002374_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
QUE002375_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE001610_mac mac 0.986007 0.012031 1e-05 0.001941 1e-05
QUE001796_mac mac 0.994217 1e-05 0.005753 1e-05 1e-05
QUE001846_alb alb 1e-05 0.99996 1e-05 1e-05 1e-05
QUE001871_ste ste 0.067516 1e-05 1e-05 0.932454 1e-05
QUE001877_ste ste 0.436882 1e-05 1e-05 0.563088 1e-05
QUE001878_mac mac 0.99996 1e-05 1e-05 1e-05 1e-05
