ind_ID,sppcode,mac1_frac,mac2_frac,alb_frac,bic_frac,ste_frac,mue_frac,lat,long,site
QUE002637_mac,mac,0.993686,1e-05,1e-05,1e-05,1e-05,0.006274,43.68836,-92.92859,AustinMN
QUE002631_mac,mac,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,43.68481,-92.92696,AustinMN
QUE002647_mac,mac,0.90318,0.09678,1e-05,1e-05,1e-05,1e-05,43.677,-92.93769,AustinMN
QUE002613_mac,mac,0.913097,0.079213,1e-05,1e-05,1e-05,0.007659,42.04141,-93.678679,AmesIA
QUE002614_mac,mac,0.804168,0.188877,1e-05,0.006925,1e-05,1e-05,42.049533,-93.679052,AmesIA
QUE002616_mac,mac,0.763666,0.236294,1e-05,1e-05,1e-05,1e-05,42.030898,-93.632418,AmesIA
QUE002617_mac,mac,0.902489,0.097471,1e-05,1e-05,1e-05,1e-05,42.023609,-93.633087,AmesIA
QUE002599_mac,mac,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,44.2261111,-93.471944,SakatahLakeMN
QUE002601_mac,mac,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,44.86798,-93.03203,TwinCitiesMN
QUE002638_mac,mac,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,43.677,-92.93769,AustinMN
QUE002615_mac,mac,0.882803,0.107523,0.009644,1e-05,1e-05,1e-05,42.036203,-93.639256,AmesIA
QUE002595_mac,mac,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,44.2244444,-93.528333,SakatahLakeMN
QUE002634_mac,mac,0.960077,0.033841,0.006052,1e-05,1e-05,1e-05,43.68461,-92.92134,AustinMN
QUE002590_mac,mac,0.990673,1e-05,1e-05,1e-05,1e-05,0.009287,45.38953,-93.19485,CedarCreekMN
QUE002608_mac,mac,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,45.4222222,-93.188056,SakatahLakeMN
QUE002641_mac,mac,0.999945,1e-05,1e-05,1.3e-05,1e-05,1.2e-05,43.68531,-92.92292,AustinMN
QUE001334_mac,mac,0.516095,0.472507,0.008593,1e-05,1e-05,0.002785,40.990945,-90.402384,GalesburgIL
