ind_ID sppcode mac1_frac mac2_frac alb_frac bic_frac ste_frac mue_frac
QUE002098_mue mue 1e-05 1e-05 1e-05 1e-05 1e-05 0.99995
QUE002105_mac mac 0.977299 1e-05 0.006888 1e-05 0.009281 0.006513
QUE002108_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002121_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002129_mac mac 0.013723 0.986237 1e-05 1e-05 1e-05 1e-05
QUE002133_mac mac 0.752654 0.116739 0.03888 0.091707 1e-05 1e-05
QUE002138_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002154_mac mac 0.941054 0.034725 1e-05 0.024191 1e-05 1e-05
QUE002155_alb alb 0.146609 0.012768 0.523747 0.316856 1e-05 1e-05
QUE002187_mac mac 0.87982 0.093087 1e-05 1e-05 1e-05 0.027064
QUE002188_ste ste 1e-05 1e-05 1e-05 1e-05 0.99995 1e-05
QUE002189_mue mue 1e-05 1e-05 1e-05 1e-05 1e-05 0.99995
QUE002196_bic bic 1e-05 1e-05 1e-05 0.99995 1e-05 1e-05
QUE002209_ste ste 1e-05 1e-05 1e-05 1e-05 0.99995 1e-05
QUE002210_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002219_ste ste 1e-05 1e-05 1e-05 1e-05 0.99995 1e-05
QUE002247_mue mue 1e-05 1e-05 1e-05 1e-05 1e-05 0.99995
QUE002251_mac mac 0.137165 0.862795 1e-05 1e-05 1e-05 1e-05
QUE002252_ste ste 1e-05 1e-05 1e-05 1e-05 0.99995 1e-05
QUE002253_alb alb 1e-05 1.2e-05 0.999948 1e-05 1e-05 1e-05
QUE002285_mue mue 1e-05 1e-05 1e-05 1e-05 1e-05 0.99995
QUE002302_mac mac 0.361776 0.638179 1e-05 1.5e-05 1e-05 1e-05
QUE002303_mue mue 1e-05 1e-05 1e-05 1e-05 1e-05 0.99995
QUE002304_mac mac 0.561388 0.438572 1e-05 1e-05 1e-05 1e-05
QUE002326_mac mac 0.528146 1e-05 1e-05 0.471814 1e-05 1e-05
QUE002336_mac mac 0.782982 0.216978 1e-05 1e-05 1e-05 1e-05
QUE002337_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002355_alb alb 0.010997 0.001215 0.987758 1e-05 1e-05 1e-05
QUE002361_bic bic 0.023508 0.497128 1e-05 0.479334 1e-05 1e-05
QUE002367_mac mac 0.99995 1e-05 1e-05 1e-05 1e-05 1e-05
QUE002399_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002400_mac mac 0.991384 1e-05 1e-05 1e-05 1e-05 0.008576
QUE002424_mac mac 0.99995 1e-05 1e-05 1e-05 1e-05 1e-05
QUE002471_mac mac 0.548871 0.44533 1e-05 1e-05 0.002567 0.003212
QUE002480_mac mac 0.740863 0.259097 1e-05 1e-05 1e-05 1e-05
QUE002481_mue mue 1e-05 1e-05 1e-05 1e-05 1e-05 0.99995
QUE002493_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002526_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002528_bic bic 1e-05 1e-05 1e-05 0.99995 1e-05 1e-05
QUE002535_alb alb 0.018586 1e-05 0.981374 1e-05 1e-05 1e-05
QUE002579_mac mac 0.990409 1e-05 0.009548 1.3e-05 1e-05 1e-05
QUE002364_mac mac 0.950164 0.049786 1e-05 1e-05 1e-05 2e-05
QUE002369_mac mac 0.858671 0.134601 1.7e-05 1e-05 1e-05 0.00669
QUE002370_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002371_mac mac 0.99995 1e-05 1e-05 1e-05 1e-05 1e-05
QUE002373_mac mac 0.997026 0.002934 1e-05 1e-05 1e-05 1e-05
QUE002374_mac mac 0.956003 0.043957 1e-05 1e-05 1e-05 1e-05
QUE002375_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE001610_mac mac 0.880815 0.108306 0.010848 1e-05 1e-05 1e-05
QUE001796_mac mac 0.994371 1e-05 1e-05 0.005589 1e-05 1e-05
QUE001846_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE001871_ste ste 1e-05 0.065477 1e-05 1e-05 0.934483 1e-05
QUE001877_ste ste 0.439443 1e-05 1e-05 1e-05 0.560517 1e-05
QUE001878_mac mac 0.467108 0.532852 1e-05 1e-05 1e-05 1e-05
QUE001882_mac mac 0.54173 0.393684 1e-05 0.064556 1e-05 1e-05
QUE001885_alb alb 0.462638 0.019324 0.504339 0.01368 1e-05 1e-05
QUE001886_mac mac 0.613874 1e-05 1e-05 1e-05 1e-05 0.386086
QUE001898_mue mue 0.507612 1e-05 1e-05 1e-05 0.0038 0.488558
QUE001900_mac mac 0.947706 0.045153 1e-05 1e-05 0.007111 1e-05
QUE001904_mac mac 0.483756 0.50661 0.005564 1e-05 0.004049 1e-05
QUE001912_mac mac 0.039076 0.960884 1e-05 1e-05 1e-05 1e-05
QUE001920_alb alb 1e-05 0.509918 0.489027 0.001025 1e-05 1e-05
QUE001922_mac mac 0.015142 0.483965 0.500863 1e-05 1e-05 1e-05
QUE001923_ste ste 0.055728 0.416095 1e-05 1e-05 0.528147 1e-05
QUE001924_mac mac 1e-05 0.99995 1e-05 1e-05 1e-05 1e-05
QUE001925_ste ste 1e-05 0.473911 1e-05 1e-05 0.526049 1e-05
QUE001928_mac mac 1e-05 0.99995 1e-05 1e-05 1e-05 1e-05
QUE001929_mac mac 0.291314 0.708646 1e-05 1e-05 1e-05 1e-05
QUE001930_mue mue 1e-05 1e-05 1e-05 1e-05 1e-05 0.99995
QUE001936_mac mac 0.072146 0.927814 1e-05 1e-05 1e-05 1e-05
QUE001938_mue mue 1e-05 1e-05 1e-05 1e-05 1e-05 0.99995
QUE001943_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE001959_mac mac 0.961563 0.038005 1e-05 1e-05 1e-05 0.000401
QUE001969_mac mac 0.99995 1e-05 1e-05 1e-05 1e-05 1e-05
QUE001980_mac mac 0.99995 1e-05 1e-05 1e-05 1e-05 1e-05
QUE001985_mac mac 0.992274 1e-05 0.004628 1e-05 1e-05 0.003068
QUE002058_mac mac 0.782124 0.205367 1e-05 0.008423 0.004065 1e-05
QUE002068_mac mac 0.125618 0.874342 1e-05 1e-05 1e-05 1e-05
QUE002069_mac mac 0.087699 0.912253 1.8e-05 1e-05 1e-05 1e-05
QUE002072_mac mac 0.114379 0.885581 1e-05 1e-05 1e-05 1e-05
QUE002073_mac mac 0.171873 0.828087 1e-05 1e-05 1e-05 1e-05
QUE002076_mac mac 0.135271 0.864689 1e-05 1e-05 1e-05 1e-05
QUE002083_mac mac 1e-05 0.99995 1e-05 1e-05 1e-05 1e-05
QUE002084_mac mac 1e-05 0.99995 1e-05 1e-05 1e-05 1e-05
QUE002087_mac mac 0.055293 0.944667 1e-05 1e-05 1e-05 1e-05
QUE002096_mac mac 0.008624 0.991336 1e-05 1e-05 1e-05 1e-05
QUE002099_mue mue 1e-05 1e-05 0.585305 1e-05 1e-05 0.414655
QUE002106_mac mac 0.471058 0.034455 0.469929 0.011435 1e-05 0.013114
QUE002109_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002110_mac mac 0.802569 0.176912 1.3e-05 1e-05 1e-05 0.020486
QUE002114_mac mac 0.916349 0.083611 1e-05 1e-05 1e-05 1e-05
QUE002119_mac mac 0.887287 0.107574 1e-05 0.005109 1e-05 1e-05
QUE002124_alb alb 1e-05 1e-05 0.999942 1e-05 1e-05 1.8e-05
QUE002128_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002132_mac mac 0.268479 0.142952 0.023609 0.555976 1e-05 0.008973
QUE002134_mac mac 0.936957 1e-05 1e-05 0.063003 1e-05 1e-05
QUE002135_mac mac 0.95219 1e-05 1e-05 0.008303 1e-05 0.039476
QUE002136_mac mac 0.967661 1e-05 0.001013 0.031296 1e-05 1e-05
QUE002139_mac mac 0.510201 0.011296 0.034061 0.444422 1e-05 1e-05
QUE002140_mac mac 0.928704 1e-05 1e-05 0.071256 1e-05 1e-05
QUE002141_mac mac 0.913465 0.006977 0.026912 0.052626 1e-05 1e-05
QUE002143_mac mac 0.901969 1e-05 0.021643 0.076358 1e-05 1e-05
QUE002147_mac mac 0.728191 0.213599 0.024565 0.033625 1e-05 1e-05
QUE002148_mac mac 0.90315 0.067224 1e-05 0.029597 1e-05 1e-05
QUE002149_alb alb 0.487133 1e-05 0.502453 0.010385 1e-05 1e-05
QUE002150_mac mac 0.926765 1e-05 1e-05 0.073195 1e-05 1e-05
QUE002151_mac mac 0.947908 0.006897 1e-05 0.045165 1e-05 1e-05
QUE002157_alb alb 0.296398 1e-05 0.567166 0.136406 1e-05 1e-05
QUE002159_mac mac 0.939081 0.01433 1e-05 0.046559 1e-05 1e-05
QUE002160_mac mac 0.935597 0.049352 1e-05 0.015021 1e-05 1e-05
QUE002161_mac mac 0.825028 0.132459 1.4e-05 0.042479 1e-05 1e-05
QUE002166_mac mac 0.244374 0.750021 1e-05 0.005575 1e-05 1e-05
QUE002170_mac mac 0.130266 0.869692 1e-05 1.2e-05 1e-05 1e-05
QUE002175_mac mac 0.12205 0.87791 1e-05 1e-05 1e-05 1e-05
QUE002176_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002180_ste ste 1e-05 1e-05 1e-05 1e-05 0.99995 1e-05
QUE002194_mac mac 0.239709 0.760251 1e-05 1e-05 1e-05 1e-05
QUE002195_ste ste 1e-05 1e-05 1e-05 1e-05 0.99995 1e-05
QUE002202_mac mac 0.255193 0.744767 1e-05 1e-05 1e-05 1e-05
QUE002216_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002225_alb alb 1e-05 1e-05 0.999948 1.2e-05 1e-05 1e-05
QUE002226_mue mue 1e-05 1e-05 1e-05 1e-05 1e-05 0.99995
QUE002229_ste ste 1e-05 1e-05 1e-05 1e-05 0.99995 1e-05
QUE002232_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002240_ste ste 1e-05 1e-05 1e-05 1e-05 0.99995 1e-05
QUE002256_mac mac 0.397899 0.602061 1e-05 1e-05 1e-05 1e-05
QUE002261_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002265_mac mac 0.398719 0.598214 1e-05 0.003037 1e-05 1e-05
QUE002267_mue mue 1e-05 1e-05 1e-05 1e-05 1e-05 0.99995
QUE002268_mac mac 0.188512 0.783016 1e-05 1e-05 1e-05 0.028442
QUE002269_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002275_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002290_mue mue 1e-05 1e-05 1e-05 1e-05 1e-05 0.99995
QUE002291_mac mac 0.26868 0.73128 1e-05 1e-05 1e-05 1e-05
QUE002299_mac mac 0.16848 0.83148 1e-05 1e-05 1e-05 1e-05
QUE002310_mue mue 1e-05 1e-05 1e-05 1e-05 1e-05 0.99995
QUE002313_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002314_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002315_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002319_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002324_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002331_mac mac 0.735657 0.131278 1e-05 0.133035 1e-05 1e-05
QUE002335_mac mac 0.855327 1e-05 0.037697 0.106946 1e-05 1e-05
QUE002338_mac mac 0.766717 0.224862 1e-05 0.004806 0.003595 1e-05
QUE002339_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002341_mac mac 0.761805 0.173105 0.018026 0.047044 1e-05 1e-05
QUE002342_alb alb 0.020468 1e-05 0.979492 1e-05 1e-05 1e-05
QUE002346_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002347_bic bic 0.050501 1e-05 1e-05 0.949459 1e-05 1e-05
QUE002351_alb alb 1e-05 0.016939 0.983021 1e-05 1e-05 1e-05
QUE002362_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002379_mac mac 0.900465 0.099495 1e-05 1e-05 1e-05 1e-05
QUE002383_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002384_mac mac 0.99995 1e-05 1e-05 1e-05 1e-05 1e-05
QUE002385_alb alb 0.494667 1e-05 0.505293 1e-05 1e-05 1e-05
QUE002392_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002393_mac mac 0.989443 1e-05 1e-05 1e-05 1e-05 0.010517
QUE002404_mac mac 0.93503 0.06493 1e-05 1e-05 1e-05 1e-05
QUE002410_alb alb 0.013358 1e-05 0.986599 1.3e-05 1e-05 1e-05
QUE002411_mac mac 0.99995 1e-05 1e-05 1e-05 1e-05 1e-05
QUE002416_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002417_mac mac 0.99995 1e-05 1e-05 1e-05 1e-05 1e-05
QUE002422_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002427_mac mac 0.99995 1e-05 1e-05 1e-05 1e-05 1e-05
QUE002430_mac mac 0.99995 1e-05 1e-05 1e-05 1e-05 1e-05
QUE002433_mac mac 0.99995 1e-05 1e-05 1e-05 1e-05 1e-05
QUE002443_mac mac 0.99995 1e-05 1e-05 1e-05 1e-05 1e-05
QUE002445_mac mac 0.962762 0.037198 1e-05 1e-05 1e-05 1e-05
QUE002450_mac mac 0.99995 1e-05 1e-05 1e-05 1e-05 1e-05
QUE002453_mac mac 0.549102 0.450858 1e-05 1e-05 1e-05 1e-05
QUE002454_mac mac 0.99995 1e-05 1e-05 1e-05 1e-05 1e-05
QUE002459_mac mac 0.699472 0.300488 1e-05 1e-05 1e-05 1e-05
QUE002460_mac mac 0.630678 0.344244 1e-05 0.025048 1e-05 1e-05
QUE002467_mac mac 0.704977 0.264579 1e-05 0.030414 1e-05 1e-05
QUE002474_mac mac 0.698465 0.295473 1e-05 0.006032 1e-05 1e-05
QUE002478_mac mac 0.561837 0.438123 1e-05 1e-05 1e-05 1e-05
QUE002484_mue mue 1e-05 1e-05 1e-05 1e-05 1e-05 0.99995
QUE002487_alb alb 0.006294 1e-05 0.993666 1e-05 1e-05 1e-05
QUE002488_mue mue 1e-05 1e-05 1e-05 1e-05 1e-05 0.99995
QUE002492_mac mac 0.652482 0.347478 1e-05 1e-05 1e-05 1e-05
QUE002494_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002495_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002496_mac mac 0.896659 0.103301 1e-05 1e-05 1e-05 1e-05
QUE002502_mac mac 0.827902 0.172058 1e-05 1e-05 1e-05 1e-05
QUE002503_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002510_mac mac 0.808715 0.186053 1e-05 1e-05 1e-05 0.005202
QUE002511_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002515_mac mac 0.271662 0.728298 1e-05 1e-05 1e-05 1e-05
QUE002518_mac mac 0.99995 1e-05 1e-05 1e-05 1e-05 1e-05
QUE002520_mac mac 0.279927 0.720033 1e-05 1e-05 1e-05 1e-05
QUE002521_mac mac 0.89615 0.10381 1e-05 1e-05 1e-05 1e-05
QUE002522_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002529_bic bic 1e-05 1e-05 1e-05 0.99995 1e-05 1e-05
QUE002531_bic bic 1e-05 1e-05 1e-05 0.99995 1e-05 1e-05
QUE002533_mac mac 0.976481 0.023479 1e-05 1e-05 1e-05 1e-05
QUE002534_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002542_mac mac 0.644088 0.355872 1e-05 1e-05 1e-05 1e-05
QUE002544_alb alb 1e-05 1e-05 0.99995 1e-05 1e-05 1e-05
QUE002555_alb alb 1e-05 1e-05 0.999947 1e-05 1.3e-05 1e-05
QUE002556_bic bic 0.017939 1e-05 1e-05 0.982021 1e-05 1e-05
QUE002558_mac mac 0.849149 0.150811 1e-05 1e-05 1e-05 1e-05
QUE002559_mac mac 0.927815 0.072145 1e-05 1e-05 1e-05 1e-05
QUE002560_mac mac 0.99995 1e-05 1e-05 1e-05 1e-05 1e-05
QUE002564_mac mac 0.958637 0.035266 1e-05 1e-05 1e-05 0.006067
QUE002581_mac mac 0.947112 1e-05 0.004747 1e-05 0.0087 0.039421
QUE002570_mac mac 0.99995 1e-05 1e-05 1e-05 1e-05 1e-05
QUE001632_mac mac 0.869137 0.130823 1e-05 1e-05 1e-05 1e-05
QUE001633_mac mac 0.095369 0.402197 1e-05 1e-05 0.502403 1e-05
QUE001635_mac mac 0.545756 0.420273 1e-05 0.029919 1e-05 0.004031
QUE001636_mac mac 1e-05 0.99995 1e-05 1e-05 1e-05 1e-05
QUE001638_mac mac 1e-05 0.99995 1e-05 1e-05 1e-05 1e-05
QUE001644_mac mac 0.358205 0.633485 0.00828 1e-05 1e-05 1e-05
QUE001645_mac mac 0.167698 0.832262 1e-05 1e-05 1e-05 1e-05
QUE001647_mac mac 0.16587 0.83409 1e-05 1e-05 1e-05 1e-05
QUE001648_mac mac 0.772009 0.227764 1e-05 1e-05 0.000197 1e-05
QUE001649_mue mue 1e-05 1e-05 1e-05 1e-05 1.3e-05 0.999947
QUE001650_mac mac 0.526806 0.110204 1e-05 0.36296 1e-05 1e-05
QUE001651_mac mac 0.217349 0.782611 1e-05 1e-05 1e-05 1e-05
QUE001654_alb alb 0.010472 1e-05 0.989488 1e-05 1e-05 1e-05
QUE001656_mac mac 0.056534 0.943426 1e-05 1e-05 1e-05 1e-05
QUE001658_mac mac 0.851241 0.148719 1e-05 1e-05 1e-05 1e-05
QUE001661_mac mac 1e-05 0.99995 1e-05 1e-05 1e-05 1e-05
QUE001663_ste ste 1e-05 1e-05 1e-05 1e-05 0.99995 1e-05
QUE001664_mac mac 0.601594 0.379009 1e-05 1e-05 1e-05 0.019367
QUE001665_mue mue 1e-05 1e-05 1e-05 1e-05 1e-05 0.99995
