ind_ID,sppcode,mac1_frac,mac2_frac,alb_frac,bic_frac,ste_frac,mue_frac,lat,long
QUE001886_mac,mac,0.613874,1e-05,1e-05,1e-05,1e-05,0.386086,35.45351,-98.35412
QUE001898_mue,mue,0.507612,1e-05,1e-05,1e-05,0.0038,0.488558,35.44085,-98.35471
QUE001900_mac,mac,0.947706,0.045153,1e-05,1e-05,0.007111,1e-05,35.43874,-98.35495
QUE001904_mac,mac,0.483756,0.50661,0.005564,1e-05,0.004049,1e-05,35.17705,-97.44921
QUE001912_mac,mac,0.039076,0.960884,1e-05,1e-05,1e-05,1e-05,35.17722,-97.45003
QUE001920_alb,alb,1e-05,0.509918,0.489027,0.001025,1e-05,1e-05,34.80306,-92.32555
QUE001922_mac,mac,0.015142,0.483965,0.500863,1e-05,1e-05,1e-05,34.8028,-92.32557
QUE001923_ste,ste,0.055728,0.416095,1e-05,1e-05,0.528147,1e-05,34.80348,-92.3259
QUE001924_mac,mac,1e-05,0.99995,1e-05,1e-05,1e-05,1e-05,34.80377,-92.32698
QUE001925_ste,ste,1e-05,0.473911,1e-05,1e-05,0.526049,1e-05,34.80427,-92.32652
QUE001928_mac,mac,1e-05,0.99995,1e-05,1e-05,1e-05,1e-05,34.80445,-92.32612
QUE001929_mac,mac,0.291314,0.708646,1e-05,1e-05,1e-05,1e-05,37.1574,-91.36496
QUE001930_mue,mue,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,37.1574,-91.36496
QUE001936_mac,mac,0.072146,0.927814,1e-05,1e-05,1e-05,1e-05,37.15758,-91.36513
QUE001938_mue,mue,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,43.903,-91.63986
QUE001943_alb,alb,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,43.89158,-91.64829
QUE001959_mac,mac,0.961563,0.038005,1e-05,1e-05,1e-05,0.000401,49.71187,-95.24456
QUE001969_mac,mac,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,49.76055,-99.15844
QUE001980_mac,mac,0.99995,1e-05,1e-05,1e-05,1e-05,1e-05,46.02383,-91.14557
QUE001985_mac,mac,0.992274,1e-05,0.004628,1e-05,1e-05,0.003068,46.0244,-91.12945
QUE002058_mac,mac,0.782124,0.205367,1e-05,0.008423,0.004065,1e-05,38.963586,-98.58906
QUE002068_mac,mac,0.125618,0.874342,1e-05,1e-05,1e-05,1e-05,38.842944,-97.588909
QUE002069_mac,mac,0.087699,0.912253,1.8e-05,1e-05,1e-05,1e-05,38.842944,-97.588909
QUE002072_mac,mac,0.114379,0.885581,1e-05,1e-05,1e-05,1e-05,39.839311,-88.367745
QUE002073_mac,mac,0.171873,0.828087,1e-05,1e-05,1e-05,1e-05,39.839311,-88.367745
QUE002076_mac,mac,0.135271,0.864689,1e-05,1e-05,1e-05,1e-05,39.839311,-88.367745
QUE002083_mac,mac,1e-05,0.99995,1e-05,1e-05,1e-05,1e-05,37.51651,-89.44542
QUE002084_mac,mac,1e-05,0.99995,1e-05,1e-05,1e-05,1e-05,37.51726,-89.44584
QUE002087_mac,mac,0.055293,0.944667,1e-05,1e-05,1e-05,1e-05,38.73603,-86.41255
QUE002096_mac,mac,0.008624,0.991336,1e-05,1e-05,1e-05,1e-05,38.73833,-86.41346
QUE002099_mue,mue,1e-05,1e-05,0.585305,1e-05,1e-05,0.414655,40.45791,-85.50685
QUE002106_mac,mac,0.471058,0.034455,0.469929,0.011435,1e-05,0.013114,40.45911,-85.50878
QUE002109_alb,alb,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,40.45916,-85.50973
QUE002110_mac,mac,0.802569,0.176912,1.3e-05,1e-05,1e-05,0.020486,41.53273,-87.2948
QUE002114_mac,mac,0.916349,0.083611,1e-05,1e-05,1e-05,1e-05,41.53403,-87.29146
QUE002119_mac,mac,0.887287,0.107574,1e-05,0.005109,1e-05,1e-05,41.53239,-87.29708
QUE002124_alb,alb,1e-05,1e-05,0.999942,1e-05,1e-05,1.8e-05,41.65955,-87.06218
QUE002128_alb,alb,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,41.65947,-87.04994
QUE002132_mac,mac,0.268479,0.142952,0.023609,0.555976,1e-05,0.008973,42.1665869,-73.412025
QUE002134_mac,mac,0.936957,1e-05,1e-05,0.063003,1e-05,1e-05,42.9102876,-73.219556
QUE002135_mac,mac,0.95219,1e-05,1e-05,0.008303,1e-05,0.039476,42.910269,-73.219522
QUE002136_mac,mac,0.967661,1e-05,0.001013,0.031296,1e-05,1e-05,42.909897,-73.218712
QUE002139_mac,mac,0.510201,0.011296,0.034061,0.444422,1e-05,1e-05,43.5836123,-73.202578
QUE002140_mac,mac,0.928704,1e-05,1e-05,0.071256,1e-05,1e-05,43.7432343,-73.04841
QUE002141_mac,mac,0.913465,0.006977,0.026912,0.052626,1e-05,1e-05,43.9166704,-73.19356
QUE002143_mac,mac,0.901969,1e-05,0.021643,0.076358,1e-05,1e-05,43.951352,-73.222777
QUE002147_mac,mac,0.728191,0.213599,0.024565,0.033625,1e-05,1e-05,44.0059347,-73.148044
QUE002148_mac,mac,0.90315,0.067224,1e-05,0.029597,1e-05,1e-05,44.2343287,-73.243211
QUE002149_alb,alb,0.487133,1e-05,0.502453,0.010385,1e-05,1e-05,44.2354233,-73.243422
QUE002150_mac,mac,0.926765,1e-05,1e-05,0.073195,1e-05,1e-05,44.2339356,-73.243122
QUE002151_mac,mac,0.947908,0.006897,1e-05,0.045165,1e-05,1e-05,44.2643368,-73.249727
QUE002157_alb,alb,0.296398,1e-05,0.567166,0.136406,1e-05,1e-05,44.44643,-73.220373
QUE002159_mac,mac,0.939081,0.01433,1e-05,0.046559,1e-05,1e-05,44.5792499,-73.165539
QUE002160_mac,mac,0.935597,0.049352,1e-05,0.015021,1e-05,1e-05,44.6675241,-73.344894
QUE002161_mac,mac,0.825028,0.132459,1.4e-05,0.042479,1e-05,1e-05,44.7174297,-73.32585
QUE002166_mac,mac,0.244374,0.750021,1e-05,0.005575,1e-05,1e-05,38.46385,-90.80547
QUE002170_mac,mac,0.130266,0.869692,1e-05,1.2e-05,1e-05,1e-05,38.46187,-90.81498
QUE002175_mac,mac,0.12205,0.87791,1e-05,1e-05,1e-05,1e-05,38.46608,-90.8094
QUE002176_alb,alb,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,38.51339,-90.57564
QUE002180_ste,ste,1e-05,1e-05,1e-05,1e-05,0.99995,1e-05,38.51456,-90.57724
QUE002194_mac,mac,0.239709,0.760251,1e-05,1e-05,1e-05,1e-05,38.22685,-91.08245
QUE002195_ste,ste,1e-05,1e-05,1e-05,1e-05,0.99995,1e-05,38.22665,-91.08285
QUE002202_mac,mac,0.255193,0.744767,1e-05,1e-05,1e-05,1e-05,38.22441,-91.08194
QUE002216_alb,alb,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,38.21713,-91.09208
QUE002225_alb,alb,1e-05,1e-05,0.999948,1.2e-05,1e-05,1e-05,38.21733,-91.09339
QUE002226_mue,mue,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,37.15758,-91.30513
QUE002229_ste,ste,1e-05,1e-05,1e-05,1e-05,0.99995,1e-05,38.97864,-94.80724
QUE002232_alb,alb,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,38.97918,-94.80692
QUE002240_ste,ste,1e-05,1e-05,1e-05,1e-05,0.99995,1e-05,38.97934,-94.80537
QUE002256_mac,mac,0.397899,0.602061,1e-05,1e-05,1e-05,1e-05,38.98048,-94.80568
QUE002261_alb,alb,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,38.9813,-94.80572
QUE002265_mac,mac,0.398719,0.598214,1e-05,0.003037,1e-05,1e-05,38.98141,-94.81036
QUE002267_mue,mue,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,38.80954,-95.18853
QUE002268_mac,mac,0.188512,0.783016,1e-05,1e-05,1e-05,0.028442,38.80951,-95.18855
QUE002269_alb,alb,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,38.80958,-95.18916
QUE002275_alb,alb,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,38.8089,-95.19019
QUE002290_mue,mue,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,38.80832,-95.19458
QUE002291_mac,mac,0.26868,0.73128,1e-05,1e-05,1e-05,1e-05,38.80803,-95.19508
QUE002299_mac,mac,0.16848,0.83148,1e-05,1e-05,1e-05,1e-05,39.10691,-96.60616
QUE002310_mue,mue,1e-05,1e-05,1e-05,1e-05,1e-05,0.99995,39.10761,-96.6074
QUE002313_alb,alb,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,41.86308,-85.74551
QUE002314_alb,alb,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,41.74568,-85.74568
QUE002315_alb,alb,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,41.86175,-85.74576
QUE002319_alb,alb,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,41.86398,-85.74573
QUE002324_alb,alb,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,41.86993,-85.74568
QUE002331_mac,mac,0.735657,0.131278,1e-05,0.133035,1e-05,1e-05,43.84822,-83.92385
QUE002335_mac,mac,0.855327,1e-05,0.037697,0.106946,1e-05,1e-05,43.85714,-83.92524
QUE002338_mac,mac,0.766717,0.224862,1e-05,0.004806,0.003595,1e-05,42.30404,-83.74966
QUE002339_alb,alb,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,42.30204,-83.75024
QUE002341_mac,mac,0.761805,0.173105,0.018026,0.047044,1e-05,1e-05,42.30153,-83.75108
QUE002342_alb,alb,0.020468,1e-05,0.979492,1e-05,1e-05,1e-05,42.30881,-83.75718
QUE002346_alb,alb,1e-05,1e-05,0.99995,1e-05,1e-05,1e-05,42.76774,-84.39124
