ind_ID,sppcode,species_frac,admix_frac,lat,long,site,dist_from_rangeedge,sympspp_bin,sympspp_num,hab_suit
QUE001530_mac,mac,0.99996,4.000000000004e-05,41.725689,-87.862598,CranberrySloughIL,224529.563416795,Y,3,0.807923972606659
QUE001532_mac,mac,0.998366,0.00163399999999991,41.718072,-87.866357,CranberrySloughIL,225385.862205497,Y,3,0.812552809715271
QUE001533_mac,mac,0.99996,3.9999999999929e-05,41.71809,-87.866302,CranberrySloughIL,225381.445385373,Y,3,0.812552809715271
QUE001534_bic,bic,0.999943,5.69999999999737e-05,41.718213,-87.866311,CranberrySloughIL,205879.686181629,Y,3,0.820099174976349
QUE001536_mac,mac,0.974656,0.025344,41.72124,-87.866644,CranberrySloughIL,225125.771230104,Y,3,0.810704290866852
QUE001537_bic,bic,0.949412,0.050588,42.183259,-87.914855,RyersonWoodsIL,166469.248564906,Y,3,0.824440717697144
QUE001538_bic,bic,0.99995,4.99999999999945e-05,42.183259,-87.914855,RyersonWoodsIL,166469.248564906,Y,3,0.824440717697144
QUE001539_bic,bic,0.99995,4.99999999999945e-05,42.183259,-87.914855,RyersonWoodsIL,166469.248564906,Y,3,0.824440717697144
QUE001541_mac,mac,0.99996,4.000000000004e-05,42.183917,-87.91512,RyersonWoodsIL,190764.393863562,Y,3,0.842251300811768
QUE001542_mac,mac,0.99996,4.000000000004e-05,42.183917,-87.91512,RyersonWoodsIL,190764.393863562,Y,3,0.842251300811768
QUE001543_bic,bic,0.99995,4.99999999999945e-05,42.184283,-87.914622,RyersonWoodsIL,166354.990564932,Y,3,0.824440717697144
QUE001545_bic,bic,0.99995,4.99999999999945e-05,42.184204,-87.913637,RyersonWoodsIL,166361.328693818,Y,3,0.824440717697144
QUE001547_mac,mac,0.99996,4.000000000004e-05,42.183468,-87.9143,RyersonWoodsIL,190745.638795652,Y,3,0.842251300811768
QUE001548_mac,mac,0.99996,4.000000000004e-05,42.183468,-87.9143,RyersonWoodsIL,190745.638795652,Y,3,0.842251300811768
QUE001549_mac,mac,0.980072,0.0199280000000001,42.181511,-87.918994,RyersonWoodsIL,191181.306640661,Y,3,0.842251300811768
QUE001463_alb,alb,0.99995,4.99999999999945e-05,34.933333,-92.414722,LittleRockAR,138790.738307709,Y,3,0.590456128120422
QUE001451_ste,ste,0.99995,4.99999999999945e-05,30.076389,-97.181667,BuescherTX,79399.2786403721,Y,2,0.717161059379578
QUE001452_ste,ste,0.99995,4.99999999999945e-05,30.076389,-97.181667,BuescherTX,79399.2786403721,Y,2,0.717161059379578
QUE001550_bic,bic,0.99995,4.99999999999945e-05,42.177593,-87.920503,RyersonWoodsIL,167112.933443708,Y,3,0.81971675157547
QUE001551_mac,mac,0.992411,0.00758900000000007,42.17597,-87.91698,RyersonWoodsIL,191457.819575665,Y,3,0.840902149677277
QUE001552_bic,bic,0.99995,4.99999999999945e-05,42.17597,-87.91698,RyersonWoodsIL,167283.793912887,Y,3,0.81971675157547
QUE001553_bic,bic,0.99995,4.99999999999945e-05,42.174555,-87.912008,RyersonWoodsIL,167428.602534086,Y,3,0.822544753551483
QUE001554_mac,mac,0.985556,0.014444,42.175674,-87.914878,RyersonWoodsIL,191348.160506938,Y,3,0.840902149677277
QUE001555_bic,bic,0.99995,4.99999999999945e-05,42.175536,-87.914478,RyersonWoodsIL,167325.670347296,Y,3,0.81971675157547
QUE001556_mac,mac,0.968441,0.031559,42.175701,-87.914442,RyersonWoodsIL,191318.989915695,Y,3,0.840902149677277
QUE001388_bic,bic,0.99995,4.99999999999945e-05,43.264793,-90.303891,GothamWI,87459.7699597806,Y,3,0.854613363742828
