id pop
QUE002511_alb Pure_alb
QUE002515_mac Pure_mac
QUE002518_mac Pure_mac
QUE002520_mac Pure_mac
QUE002521_mac Pure_mac
QUE002522_alb Pure_alb
QUE002533_mac Pure_mac
QUE002534_alb Pure_alb
QUE002542_mac Pure_mac
QUE002544_alb Pure_alb
QUE002555_alb Pure_alb
QUE002558_mac Pure_mac
QUE002559_mac Pure_mac
QUE002560_mac Pure_mac
QUE002564_mac Pure_mac
QUE002581_mac Other_mac
QUE002570_mac Pure_mac
QUE001632_mac Pure_mac
QUE001635_mac Pure_mac
QUE001636_mac Pure_mac
QUE001638_mac Pure_mac
QUE001644_mac Pure_mac
QUE001645_mac Pure_mac
QUE001647_mac Pure_mac
QUE001648_mac Pure_mac
QUE001651_mac Pure_mac
QUE001654_alb Pure_alb
QUE001656_mac Pure_mac
QUE001658_mac Pure_mac
QUE001661_mac Pure_mac
QUE001664_mac Pure_mac
QUE001667_mac Pure_mac
QUE001668_mac Pure_mac
QUE001676_mac Pure_mac
QUE001677_mac Pure_mac
QUE001678_mac Pure_mac
QUE001679_mac Pure_mac
QUE001684_mac Pure_mac
QUE001686_mac Pure_mac
QUE001687_mac Pure_mac
QUE001690_mac Pure_mac
QUE001691_mac Pure_mac
QUE001697_mac Pure_mac
QUE001700_mac Pure_mac
QUE001705_mac Pure_mac
QUE001706_mac Pure_mac
QUE001713_mac Pure_mac
QUE001716_mac Pure_mac
QUE001719_mac Pure_mac
QUE001721_mac Pure_mac
QUE001723_mac Pure_mac
QUE001724_mac Pure_mac
QUE001652_mac Pure_mac
QUE001655_mac Pure_mac
QUE001670_mac Pure_mac
QUE001673_mac Pure_mac
QUE001680_mac Pure_mac
QUE001682_mac Pure_mac
