id pop
QUE002637_mac Pure_mac
QUE002631_mac Pure_mac
QUE002647_mac Pure_mac
QUE002613_mac Pure_mac
QUE002614_mac Pure_mac
QUE002616_mac Pure_mac
QUE002617_mac Pure_mac
QUE002599_mac Pure_mac
QUE002628_mac Pure_mac
QUE002601_mac Pure_mac
QUE002638_mac Pure_mac
QUE002615_mac Pure_mac
QUE002595_mac Pure_mac
QUE002634_mac Pure_mac
QUE002590_mac Pure_mac
QUE002608_mac Pure_mac
QUE002641_mac Pure_mac
QUE001334_mac Pure_mac
QUE001337_mac Pure_mac
QUE001338_mac Pure_mac
QUE001339_mac Pure_mac
QUE001342_mac Pure_mac
QUE001343_mac Pure_mac
QUE001345_mac Pure_mac
QUE001346_mac Pure_mac
QUE001347_mac Pure_mac
QUE001348_mac Pure_mac
QUE001350_mac Pure_mac
QUE001351_mac Pure_mac
QUE001352_mac Pure_mac
QUE001354_bic Pure_bic
QUE001355_bic Pure_bic
QUE001356_bic Pure_bic
QUE001357_bic Pure_bic
QUE001360_bic Pure_bic
QUE001366_bic Pure_bic
QUE001368_bic Pure_bic
QUE001370_mac Pure_mac
QUE001371_mac Pure_mac
QUE001372_mac Pure_mac
QUE001375_bic Pure_bic
QUE001386_bic Pure_bic
QUE001487_mac Pure_mac
QUE001526_mac Pure_mac
QUE001527_bic Pure_bic
QUE001528_bic Pure_bic
QUE001529_bic Pure_bic
QUE001530_mac Pure_mac
QUE001532_mac Pure_mac
QUE001533_mac Pure_mac
QUE001534_bic Pure_bic
QUE001536_mac Pure_mac
QUE001537_bic Other_bic
QUE001538_bic Pure_bic
QUE001539_bic Pure_bic
QUE001541_mac Pure_mac
QUE001542_mac Pure_mac
QUE001543_bic Pure_bic
QUE001545_bic Pure_bic
QUE001547_mac Pure_mac
QUE001548_mac Pure_mac
QUE001549_mac Pure_mac
QUE001550_bic Pure_bic
QUE001551_mac Pure_mac
QUE001552_bic Pure_bic
QUE001553_bic Pure_bic
QUE001554_mac Pure_mac
QUE001555_bic Pure_bic
QUE001556_mac Pure_mac
QUE001388_bic Pure_bic
QUE001759_mac Pure_mac
QUE001804_mac Pure_mac
QUE001814_mac Pure_mac
QUE001863_mac Pure_mac
QUE001916_mac Pure_mac
QUE001933_mac Pure_mac
QUE001783_mac Pure_mac
QUE001880_mac Pure_mac
QUE001907_mac Pure_mac
QUE001937_mac Pure_mac
QUE001963_mac Pure_mac
QUE001971_mac Pure_mac
QUE001982_mac Pure_mac
QUE002057_mac Pure_mac
QUE002074_mac Pure_mac
QUE002081_mac Pure_mac
QUE002082_mac Pure_mac
QUE002085_mac Pure_mac
QUE002105_mac Pure_mac
QUE002129_mac Pure_mac
QUE002133_mac Other_mac
QUE002154_mac Pure_mac
QUE002187_mac Pure_mac
QUE002196_bic Pure_bic
QUE002251_mac Pure_mac
QUE002302_mac Pure_mac
QUE002304_mac Pure_mac
QUE002326_mac Other_mac
QUE002336_mac Pure_mac
QUE002361_bic Other_bic
QUE002367_mac Pure_mac
