600000_sweeps	IndivName	1.000/0.000/0.000/0.000	0.000/0.000/0.000/1.000	0.000/0.500/0.500/0.000	0.250/0.250/0.250/0.250	0.500/0.250/0.250/0.000	0.000/0.250/0.250/0.500	0.750/0.125/0.125/0.000	0.000/0.125/0.125/0.750	0.875/0.062/0.062/0.000	0.000/0.062/0.062/0.875
1	NoName	0.00000	0.99634	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00366
2	NoName	0.00000	0.99849	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00151
3	NoName	0.00000	0.98277	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.01721
4	NoName	0.00000	0.99695	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00305
5	NoName	0.00000	0.99221	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00779
6	NoName	0.00000	0.99605	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00395
7	NoName	0.00000	0.99861	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00139
8	NoName	0.00000	0.99950	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00050
9	NoName	0.00000	0.99953	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00047
10	NoName	0.00000	0.99871	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00129
11	NoName	0.00000	0.95392	0.00000	0.00000	0.00000	0.00000	0.00000	0.00009	0.00000	0.04599
12	NoName	0.00000	0.99942	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00058
13	NoName	0.00000	0.99714	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00286
14	NoName	0.00000	0.95688	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.04311
15	NoName	0.00000	0.99553	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00447
16	NoName	0.00000	0.99970	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00030
17	NoName	0.00000	0.99983	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00017
18	NoName	0.00000	0.99849	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00151
19	NoName	0.00000	0.99973	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00027
20	NoName	0.00000	0.99677	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00323
21	NoName	0.00000	0.99979	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00021
22	NoName	0.00000	0.99520	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00480
23	NoName	0.00000	0.99151	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00849
24	NoName	0.00000	0.99757	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00243
25	NoName	0.00000	0.99758	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00242
26	NoName	0.00000	0.99412	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00588
27	NoName	0.00000	0.98632	0.00000	0.00000	0.00000	0.00000	0.00000	0.00003	0.00000	0.01365
28	NoName	0.00000	0.99895	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00105
29	NoName	0.00000	0.93858	0.00000	0.00000	0.00000	0.00000	0.00000	0.00013	0.00000	0.06128
30	NoName	0.00000	0.96704	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	0.03295
31	NoName	0.99999	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000
32	NoName	0.99985	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00015	0.00000
33	NoName	0.99939	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00061	0.00000
34	NoName	0.99963	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00036	0.00000
35	NoName	0.99609	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00000	0.00388	0.00000
36	NoName	0.99970	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00030	0.00000
37	NoName	0.99448	0.00000	0.00000	0.00000	0.00000	0.00000	0.00006	0.00000	0.00547	0.00000
38	NoName	0.00000	0.99702	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00298
39	NoName	0.00000	0.99898	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00102
