"","mukey","pondfreqcl_dc","flodfreqcl_dc","drclassdcd","aws0100wta"
"130",2108701,"None","None","Somewhat poorly drained","14.45"
"131",2108716,"None","None","Moderately well drained","13.79"
"132",2108717,"None","None","Moderately well drained","14.64"
"133",2108718,"None","None","Moderately well drained","13.16"
"134",2108721,"None","None","Moderately well drained","15.32"
"135",2108725,"None","None","Moderately well drained","14.19"
"136",2108731,"Frequent","None","Poorly drained","14.32"
"137",2108738,"None","None","Somewhat poorly drained","14.83"
"138",2108755,"Frequent","None","Very poorly drained","16.56"
"139",2108767,"None","None","Well drained","13.01"
"140",2375836,"None","Rare","Somewhat excessively drained","5.59"
"141",2431379,"None","None","Somewhat poorly drained","21"
"142",2499014,"None","None","Somewhat poorly drained","7.95"
"143",2499062,"None","Frequent","Well drained","5.12"
"144",2501325,"None","Frequent","Excessively drained","1"
"145",2501377,"None","None","Well drained","15.68"
"146",2501585,"None","None","Moderately well drained","13.67"
"147",2501629,"None","None","Somewhat excessively drained","9.41"
"148",2501760,"None","None","Somewhat excessively drained","10.84"
"149",2504291,"None","Frequent","Somewhat poorly drained","20.51"
"150",2504320,"Frequent","Frequent","Very poorly drained","38.54"
"151",2532847,"None","None","Well drained","19.36"
"152",2533532,"None","Frequent","Well drained","19.46"
"153",2533925,"None","None","Well drained","9.4"
"154",2534519,"None","None","Well drained","9.24"
"155",2536161,"None","None","Moderately well drained","13.77"
"156",2561807,"None","None","Well drained","12.68"
"157",2561809,"None","None","Well drained","8.01"
"158",2567855,"None","None","Moderately well drained","14.42"
"159",2586534,"None","None","Well drained","10.13"
"160",2606448,"None","None","Moderately well drained","17.32"
"161",2606465,"None","None","Poorly drained","19.84"
"162",2668810,"None","None","Well drained","9.45"
"163",2733259,"None","None","Well drained","16.44"
"164",2745688,"None","None","Well drained","14.72"
"165",2800480,"None","None","Somewhat poorly drained","19.04"
"166",2809845,"None","None","Well drained","11.12"
"167",2809846,"None","None","Well drained","10.54"
"168",2834933,"None","None","Well drained","18.16"
"169",2835194,"None","None","Poorly drained","18.93"
"170",2916702,"None","None","Well drained","18"
"171",3056115,"None","None","Moderately well drained","11.86"
"172",3056117,"None","None","Moderately well drained","10.78"
